stcode,jurisdiction,first_dose_allocations,week_of_allocations
SC,South Carolina,8700,2021-04-12
TN,Tennessee,11600,2021-04-12
IL,Chicago,4800,2021-04-12
IL,Illinois,17600,2021-04-12
IN,Indiana,11400,2021-04-12
MI,Michigan,17500,2021-04-12
MN,Minnesota,9600,2021-04-12
IN,Ohio,20300,2021-04-12
WI,Wisconsin,10200,2021-04-12
AR,Arkansas,5200,2021-04-12
LA,Louisiana,8000,2021-04-12
NM,New Mexico,3700,2021-04-12
OK,Oklahoma,6700,2021-04-12
MO,Texas,46300,2021-04-12
IA,Iowa,5400,2021-04-12
AR,Kansas,5000,2021-04-12
MO,Missouri,10600,2021-04-12
NE,Nebraska,3300,2021-04-12
CO,Colorado,9700,2021-04-12
MT,Montana,1900,2021-04-12
ND,North Dakota,1400,2021-04-12
SD,South Dakota,1500,2021-04-12
UT,Utah,4900,2021-04-12
NY,Wyoming,1000,2021-04-12
AZ,Arizona,12000,2021-04-12
CA,California,67600,2021-04-12
HI,Hawaii,2600,2021-04-12
AR,Nevada,5100,2021-04-12
AS,American Samoa,0,2021-04-12
GU,Guam,0,2021-04-12
,Marshall Islands,0,2021-04-12
,Micronesia,0,2021-04-12
,Mariana Islands,0,2021-04-12
,Palau,0,2021-04-12
AK,Alaska,1900,2021-04-12
ID,Idaho,2900,2021-04-12
MO,Oregon,7300,2021-04-12
AL,Washington,12900,2021-04-12
,Federal Entities,129600,2021-04-12
CT,Connecticut,53900,2021-04-05
ME,Maine,20600,2021-04-05
MA,Massachusetts,103800,2021-04-05
NH,New Hampshire,20600,2021-04-05
,Rhode Island,16200,2021-04-05
VT,Vermont,9700,2021-04-05
NJ,New Jersey,131600,2021-04-05
NY,New York,167600,2021-04-05
NY,New York City,127200,2021-04-05
PR,Puerto Rico,51400,2021-04-05
,U.S. Virgin Islands,1600,2021-04-05
DE,Delaware,14300,2021-04-05
DC,District of Columbia,10800,2021-04-05
MD,Maryland,88800,2021-04-05
PA,Pennsylvania,169200,2021-04-05
PA,Philadelphia,23500,2021-04-05
VA,Virginia,124700,2021-04-05
WV,West Virginia,27800,2021-04-05
AL,Alabama,71800,2021-04-05
FL,Florida,313200,2021-04-05
GA,Georgia,148500,2021-04-05
KY,Kentucky,65300,2021-04-05
AR,Mississippi,43200,2021-04-05
NC,North Carolina,149800,2021-04-05
SC,South Carolina,73500,2021-04-05
TN,Tennessee,98100,2021-04-05
IL,Chicago,39900,2021-04-05
IL,Illinois,148600,2021-04-05
IN,Indiana,96500,2021-04-05
MI,Michigan,147800,2021-04-05
MN,Minnesota,80800,2021-04-05
IN,Ohio,171900,2021-04-05
WI,Wisconsin,85900,2021-04-05
AR,Arkansas,43500,2021-04-05
LA,Louisiana,67700,2021-04-05
NM,New Mexico,30800,2021-04-05
OK,Oklahoma,56400,2021-04-05
MO,Texas,392100,2021-04-05
IA,Iowa,45800,2021-04-05
AR,Kansas,41800,2021-04-05
MO,Missouri,89600,2021-04-05
NE,Nebraska,27600,2021-04-05
CO,Colorado,81400,2021-04-05
MT,Montana,15600,2021-04-05
ND,North Dakota,11300,2021-04-05
SD,South Dakota,12500,2021-04-05
UT,Utah,40700,2021-04-05
NY,Wyoming,8500,2021-04-05
AZ,Arizona,101700,2021-04-05
CA,California,572700,2021-04-05
HI,Hawaii,21300,2021-04-05
AR,Nevada,42900,2021-04-05
AS,American Samoa,3700,2021-04-05
GU,Guam,16900,2021-04-05
,Marshall Islands,9600,2021-04-05
,Micronesia,15900,2021-04-05
,Mariana Islands,1600,2021-04-05
,Palau,3200,2021-04-05
AK,Alaska,15800,2021-04-05
ID,Idaho,23800,2021-04-05
MO,Oregon,61400,2021-04-05
AL,Washington,109000,2021-04-05
,Federal Entities,84600,2021-04-05
CT,Connecticut,21200,2021-03-29
ME,Maine,8100,2021-03-29
MA,Massachusetts,40800,2021-03-29
NH,New Hampshire,8100,2021-03-29
,Rhode Island,6400,2021-03-29
VT,Vermont,3900,2021-03-29
NJ,New Jersey,51700,2021-03-29
NY,New York,65800,2021-03-29
NY,New York City,49900,2021-03-29
PR,Puerto Rico,20300,2021-03-29
,U.S. Virgin Islands,700,2021-03-29
DE,Delaware,5600,2021-03-29
DC,District of Columbia,4300,2021-03-29
MD,Maryland,34900,2021-03-29
PA,Pennsylvania,66400,2021-03-29
PA,Philadelphia,9200,2021-03-29
VA,Virginia,49000,2021-03-29
WV,West Virginia,11000,2021-03-29
AL,Alabama,28300,2021-03-29
FL,Florida,122900,2021-03-29
GA,Georgia,58400,2021-03-29
KY,Kentucky,25700,2021-03-29
AR,Mississippi,17100,2021-03-29
NC,North Carolina,58800,2021-03-29
SC,South Carolina,28900,2021-03-29
TN,Tennessee,38600,2021-03-29
IL,Chicago,15700,2021-03-29
IL,Illinois,58400,2021-03-29
IN,Indiana,38000,2021-03-29
MI,Michigan,58100,2021-03-29
MN,Minnesota,31800,2021-03-29
IN,Ohio,67400,2021-03-29
WI,Wisconsin,33800,2021-03-29
AR,Arkansas,17200,2021-03-29
LA,Louisiana,26600,2021-03-29
NM,New Mexico,12100,2021-03-29
OK,Oklahoma,22200,2021-03-29
MO,Texas,153900,2021-03-29
IA,Iowa,18100,2021-03-29
AR,Kansas,16500,2021-03-29
MO,Missouri,35200,2021-03-29
NE,Nebraska,10900,2021-03-29
CO,Colorado,32000,2021-03-29
MT,Montana,6100,2021-03-29
ND,North Dakota,4500,2021-03-29
SD,South Dakota,5000,2021-03-29
UT,Utah,16100,2021-03-29
NY,Wyoming,3400,2021-03-29
AZ,Arizona,40000,2021-03-29
CA,California,224600,2021-03-29
HI,Hawaii,8400,2021-03-29
AR,Nevada,16900,2021-03-29
AS,American Samoa,300,2021-03-29
GU,Guam,900,2021-03-29
,Marshall Islands,400,2021-03-29
,Micronesia,600,2021-03-29
,Mariana Islands,400,2021-03-29
,Palau,200,2021-03-29
AK,Alaska,6300,2021-03-29
ID,Idaho,9500,2021-03-29
MO,Oregon,24200,2021-03-29
AL,Washington,42800,2021-03-29
,Federal Entities,16700,2021-03-29
CT,Connecticut,4200,2021-03-22
ME,Maine,1600,2021-03-22
MA,Massachusetts,8000,2021-03-22
NH,New Hampshire,1600,2021-03-22
,Rhode Island,1300,2021-03-22
VT,Vermont,800,2021-03-22
NJ,New Jersey,10200,2021-03-22
NY,New York,12900,2021-03-22
NY,New York City,9800,2021-03-22
PR,Puerto Rico,4000,2021-03-22
,U.S. Virgin Islands,200,2021-03-22
DE,Delaware,1100,2021-03-22
DC,District of Columbia,900,2021-03-22
MD,Maryland,6900,2021-03-22
PA,Pennsylvania,13000,2021-03-22
PA,Philadelphia,1800,2021-03-22
VA,Virginia,9600,2021-03-22
WV,West Virginia,2200,2021-03-22
AL,Alabama,5600,2021-03-22
FL,Florida,24100,2021-03-22
GA,Georgia,11500,2021-03-22
KY,Kentucky,5100,2021-03-22
AR,Mississippi,3400,2021-03-22
NC,North Carolina,11500,2021-03-22
SC,South Carolina,5700,2021-03-22
TN,Tennessee,7600,2021-03-22
IL,Chicago,3100,2021-03-22
IL,Illinois,11500,2021-03-22
IN,Indiana,7500,2021-03-22
MI,Michigan,11400,2021-03-22
MN,Minnesota,6300,2021-03-22
IN,Ohio,13200,2021-03-22
WI,Wisconsin,6700,2021-03-22
AR,Arkansas,3400,2021-03-22
LA,Louisiana,5200,2021-03-22
NM,New Mexico,2400,2021-03-22
OK,Oklahoma,4400,2021-03-22
MO,Texas,30200,2021-03-22
IA,Iowa,3600,2021-03-22
AR,Kansas,3300,2021-03-22
MO,Missouri,6900,2021-03-22
NE,Nebraska,2200,2021-03-22
CO,Colorado,6300,2021-03-22
MT,Montana,1200,2021-03-22
ND,North Dakota,900,2021-03-22
SD,South Dakota,1000,2021-03-22
UT,Utah,3200,2021-03-22
NY,Wyoming,700,2021-03-22
AZ,Arizona,7900,2021-03-22
CA,California,44000,2021-03-22
HI,Hawaii,1700,2021-03-22
AR,Nevada,3300,2021-03-22
AS,American Samoa,100,2021-03-22
GU,Guam,200,2021-03-22
,Marshall Islands,100,2021-03-22
,Micronesia,100,2021-03-22
,Mariana Islands,100,2021-03-22
,Palau,100,2021-03-22
AK,Alaska,1300,2021-03-22
ID,Idaho,1900,2021-03-22
MO,Oregon,4800,2021-03-22
AL,Washington,8400,2021-03-22
,Federal Entities,16700,2021-03-22
CT,Connecticut,4200,2021-03-15
ME,Maine,1600,2021-03-15
MA,Massachusetts,8000,2021-03-15
NH,New Hampshire,1600,2021-03-15
,Rhode Island,1300,2021-03-15
VT,Vermont,800,2021-03-15
NJ,New Jersey,10200,2021-03-15
NY,New York,12900,2021-03-15
NY,New York City,9800,2021-03-15
PR,Puerto Rico,4000,2021-03-15
,U.S. Virgin Islands,200,2021-03-15
DE,Delaware,1100,2021-03-15
DC,District of Columbia,900,2021-03-15
MD,Maryland,6900,2021-03-15
PA,Pennsylvania,13000,2021-03-15
PA,Philadelphia,1800,2021-03-15
VA,Virginia,9600,2021-03-15
WV,West Virginia,2200,2021-03-15
AL,Alabama,5600,2021-03-15
FL,Florida,24100,2021-03-15
GA,Georgia,11500,2021-03-15
KY,Kentucky,5100,2021-03-15
AR,Mississippi,3400,2021-03-15
NC,North Carolina,11500,2021-03-15
SC,South Carolina,5700,2021-03-15
TN,Tennessee,7600,2021-03-15
IL,Chicago,3100,2021-03-15
IL,Illinois,11500,2021-03-15
IN,Indiana,7500,2021-03-15
MI,Michigan,11400,2021-03-15
MN,Minnesota,6300,2021-03-15
IN,Ohio,13200,2021-03-15
WI,Wisconsin,6700,2021-03-15
AR,Arkansas,3400,2021-03-15
LA,Louisiana,5200,2021-03-15
NM,New Mexico,2400,2021-03-15
OK,Oklahoma,4400,2021-03-15
MO,Texas,30200,2021-03-15
IA,Iowa,3600,2021-03-15
AR,Kansas,3300,2021-03-15
MO,Missouri,6900,2021-03-15
NE,Nebraska,2200,2021-03-15
CO,Colorado,6300,2021-03-15
MT,Montana,1200,2021-03-15
ND,North Dakota,900,2021-03-15
SD,South Dakota,1000,2021-03-15
UT,Utah,3200,2021-03-15
NY,Wyoming,700,2021-03-15
AZ,Arizona,7900,2021-03-15
CA,California,44000,2021-03-15
HI,Hawaii,1700,2021-03-15
AR,Nevada,3300,2021-03-15
AS,American Samoa,100,2021-03-15
GU,Guam,200,2021-03-15
,Marshall Islands,100,2021-03-15
