stcode,stname,ctyname,census2010pop,estimatesbase2010,popestimate2019,npopchg_2019,births2019,deaths2019,naturalinc2019,internationalmig2019,domesticmig2019,netmig2019,residual2019,gqestimates2019,rbirth2019,rdeath2019,rnaturalinc2019,rinternationalmig2019,rdomesticmig2019,rnetmig2019
KY,Kentucky,Ballard County,8249,8246,7888,-104,76,98,-22,0,-82,-82,0,127,9.5717884131,12.34256927,-2.770780856,0.0,-10.32745592,-10.32745592
KY,Kentucky,Barren County,42173,42161,44249,134,557,519,38,0,98,98,-2,702,12.606944004,11.746865239,0.8600787651,0.0,2.2180978679,2.2180978679
KY,Kentucky,Bath County,11591,11587,12500,56,194,161,33,-2,26,24,-1,103,15.554842848,12.908915972,2.6459268762,-0.160359205,2.08466966,1.9243104554
KY,Kentucky,Bell County,28691,28691,26032,-455,316,379,-63,5,-398,-393,1,947,12.03374017,14.432871913,-2.399131743,0.1904072812,-15.15641958,-14.9660123
KY,Kentucky,Boone County,118811,118810,133581,1680,1680,939,741,0,943,943,-4,834,12.656225281,7.0739259159,5.5822993649,0.0,7.1040597856,7.1040597856
KY,Kentucky,Bourbon County,19985,20008,19788,-328,208,235,-27,-3,-299,-302,1,236,10.425020048,11.778267843,-1.353247795,-0.150360866,-14.98596632,-15.13632719
KY,Kentucky,Boyd County,49542,49534,46718,-574,493,597,-104,-11,-460,-471,1,2063,10.488245931,12.700776513,-2.212530582,-0.234017658,-9.786192958,-10.02021062
KY,Kentucky,Fleming County,14348,14346,14581,96,199,161,38,0,59,59,-1,22,13.69297461,11.078235739,2.6147388702,0.0,4.0597261405,4.0597261405
KY,Kentucky,Floyd County,39451,39450,35589,-307,416,522,-106,0,-200,-200,-1,673,11.638805344,14.604462475,-2.965657131,0.0,-5.595579492,-5.595579492
KY,Kentucky,Franklin County,49285,49268,50991,190,605,539,66,28,97,125,-1,1879,11.886985225,10.5902232,1.2967620245,0.5501414649,1.9058472179,2.4559886828
KY,Kentucky,Fulton County,6813,6813,5969,-97,54,90,-36,0,-62,-62,1,444,8.9738263398,14.956377233,-5.982550893,0.0,-10.30328209,-10.30328209
KY,Kentucky,Gallatin County,8589,8586,8869,103,112,84,28,0,75,75,0,85,12.702013042,9.5265097817,3.1755032606,0.0,8.5058123051,8.5058123051
KY,Kentucky,Garrard County,16912,16905,17666,147,192,185,7,-2,144,142,-2,109,10.913741651,10.51584482,0.397896831,-0.113684809,8.1853062385,8.0716214296
KY,Kentucky,Grant County,24662,24655,25069,4,363,250,113,-14,-96,-110,1,456,14.48119041,9.973271632,4.5079187777,-0.558503211,-3.829736307,-4.388239518
KY,Kentucky,Graves County,37121,37151,37266,-53,492,420,72,19,-144,-125,0,463,13.193001274,11.26231816,1.9306831132,0.5094858215,-3.861366226,-3.351880405
KS,Kansas,Greenwood County,6689,6689,5982,-29,56,71,-15,0,-14,-14,0,90,9.3387809556,11.84024014,-2.501459185,0.0,-2.334695239,-2.334695239
KS,Kansas,Hamilton County,2690,2687,2539,-61,29,17,12,15,-88,-73,0,0,11.28624246,6.616073166,4.6701692936,5.837711617,-34.24790815,-28.41019654
KS,Kansas,Harper County,6034,6034,5436,-72,57,91,-34,2,-40,-38,0,129,10.416666667,16.630116959,-6.213450292,0.365497076,-7.30994152,-6.944444444
KS,Kansas,Harvey County,34684,34684,34429,246,372,332,40,37,172,209,-3,1317,10.843584213,9.6776074156,1.1659767971,1.0785285373,5.0137002274,6.0922287646
KS,Kansas,Haskell County,4256,4256,3968,-22,49,21,28,3,-53,-50,0,33,12.314651923,5.2777079668,7.0369439558,0.753958281,-13.31992963,-12.56597135
KS,Kansas,Hodgeman County,1916,1918,1794,-28,17,25,-8,6,-27,-21,1,14,9.4026548673,13.827433628,-4.424778761,3.3185840708,-14.93362832,-11.61504425
KS,Kansas,Jackson County,13462,13460,13171,-99,173,131,42,-3,-138,-141,0,133,13.085738058,9.9088536742,3.1768843841,-0.226920313,-10.4383344,-10.66525472
KS,Kansas,Jefferson County,19126,19108,19043,187,171,149,22,-2,167,165,0,235,9.0239848017,7.8630043009,1.1609805008,-0.105543682,8.8128974379,8.707353756
KS,Kansas,Rawlins County,2519,2519,2530,28,33,20,13,7,10,17,-2,40,13.116057234,7.9491255962,5.1669316375,2.7821939587,3.9745627981,6.7567567568
KS,Kansas,Reno County,64511,64511,61998,-333,670,699,-29,38,-340,-302,-2,3111,10.777855528,11.244359723,-0.466504195,0.6112813583,-5.469359522,-4.858078164
KS,Kansas,Republic County,4980,4980,4636,-16,59,61,-2,5,-18,-13,-1,103,12.70456503,13.135228252,-0.430663221,1.0766580534,-3.875968992,-2.799310939
KS,Kansas,Rice County,10083,10082,9537,54,103,94,9,7,40,47,-2,651,10.830704522,9.8843322818,0.9463722397,0.7360672976,4.2060988433,4.9421661409
KS,Kansas,Riley County,71115,71130,74232,-480,854,360,494,416,-1398,-982,8,10660,11.467397143,4.8340315823,6.6333655602,5.5859920507,-18.77215598,-13.18616393
KS,Kansas,Rooks County,5181,5181,4920,-75,49,70,-21,0,-55,-55,1,72,9.88401412,14.120020171,-4.236006051,0.0,-11.09430156,-11.09430156
KS,Kansas,Rush County,3307,3307,3036,-20,28,27,1,0,-22,-22,1,66,9.1923834537,8.8640840446,0.3282994091,0.0,-7.222586999,-7.222586999
KS,Kansas,Russell County,6970,6967,6856,-46,71,95,-24,-7,-15,-22,0,89,10.321267626,13.810146824,-3.488879198,-1.017589766,-2.180549498,-3.198139264
KY,Kentucky,Boyle County,28432,28443,30060,-22,310,317,-7,-2,-14,-16,1,3277,10.308935519,10.541717934,-0.232782415,-0.066509261,-0.46556483,-0.532074091
KY,Kentucky,Bracken County,8488,8486,8303,25,97,100,-3,2,28,30,-2,41,11.700138713,12.061998673,-0.36185996,0.2412399735,3.3773596285,3.618599602
KY,Kentucky,Breathitt County,13878,13876,12630,-157,161,205,-44,0,-113,-113,0,320,12.668686312,16.130935988,-3.462249675,0.0,-8.891686666,-8.891686666
KY,Kentucky,Breckinridge County,20059,20053,20477,168,230,214,16,9,143,152,0,299,11.278379836,10.493796891,0.7845829451,0.4413279066,7.0122100721,7.4535379787
KY,Kentucky,Bullitt County,74319,74308,81676,667,777,653,124,-8,553,545,-2,340,9.5522021084,8.0277837539,1.5244183545,-0.098349571,6.7984141132,6.7000645419
KY,Kentucky,Butler County,12690,12697,12879,136,154,143,11,0,126,126,-1,203,12.020919522,11.162282414,0.8586371087,0.0,9.835297791,9.835297791
KY,Kentucky,Caldwell County,12984,12989,12747,31,139,164,-25,-1,58,57,-1,148,10.917802301,12.881435809,-1.963633507,-0.07854534,4.5556297373,4.477084397
KY,Kentucky,Calloway County,37191,37190,39001,37,359,407,-48,14,71,85,0,3237,9.2092605656,10.440582313,-1.231321747,0.3591355095,1.821330084,2.1804655935
KY,Kentucky,Grayson County,25746,25749,26427,134,300,316,-16,-1,152,151,-1,765,11.380880121,11.987860395,-0.606980273,-0.037936267,5.7663125948,5.7283763278
KY,Kentucky,Green County,11258,11255,10941,-57,107,137,-30,0,-26,-26,-1,113,9.754318793,12.489174529,-2.734855736,0.0,-2.370208305,-2.370208305
KY,Kentucky,Greenup County,36910,36906,35098,-234,352,471,-119,-3,-112,-115,0,454,9.9957404515,13.374982252,-3.3792418,-0.08519097,-3.180462871,-3.265653841
KY,Kentucky,Hancock County,8565,8565,8722,-16,106,77,29,0,-47,-47,2,90,12.142038946,8.8201603666,3.3218785796,0.0,-5.38373425,-5.38373425
KY,Kentucky,Hardin County,105543,105537,110958,679,1443,972,471,-59,271,212,-4,3250,13.044834273,8.7869569737,4.257877299,-0.533364672,2.4498614608,1.9164967885
KY,Kentucky,Harlan County,29278,29278,26010,-299,298,400,-102,0,-197,-197,0,627,11.391655039,15.290812133,-3.899157094,0.0,-7.530724976,-7.530724976
