stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
ND,North Dakota,10530,10530,2021-04-05
SD,South Dakota,11700,11700,2021-04-05
UT,Utah,37440,37440,2021-04-05
NY,Wyoming,8190,8190,2021-04-05
AZ,Arizona,93600,93600,2021-04-05
CA,California,524160,524160,2021-04-05
HI,Hawaii,19890,19890,2021-04-05
AR,Nevada,39780,39780,2021-04-05
AS,American Samoa,0,0,2021-04-05
GU,Guam,0,0,2021-04-05
,Marshall Islands,0,0,2021-04-05
,Micronesia,0,0,2021-04-05
,Mariana Islands,0,0,2021-04-05
,Palau,0,0,2021-04-05
AK,Alaska,0,0,2021-04-05
ID,Idaho,22230,22230,2021-04-05
MO,Oregon,57330,57330,2021-04-05
AL,Washington,100620,100620,2021-04-05
,Federal Entities,243360,243360,2021-04-05
CT,Connecticut,60840,60840,2021-03-29
ME,Maine,23400,23400,2021-03-29
MA,Massachusetts,117000,117000,2021-03-29
NH,New Hampshire,23400,23400,2021-03-29
,Rhode Island,18720,18720,2021-03-29
VT,Vermont,11700,11700,2021-03-29
NJ,New Jersey,148590,148590,2021-03-29
NY,New York,188370,188370,2021-03-29
NY,New York City,143910,143910,2021-03-29
PR,Puerto Rico,58500,58500,2021-03-29
,U.S. Virgin Islands,2340,2340,2021-03-29
DE,Delaware,16380,16380,2021-03-29
DC,District of Columbia,12870,12870,2021-03-29
MD,Maryland,100620,100620,2021-03-29
PA,Pennsylvania,190710,190710,2021-03-29
PA,Philadelphia,26910,26910,2021-03-29
VA,Virginia,140400,140400,2021-03-29
WV,West Virginia,31590,31590,2021-03-29
AL,Alabama,80730,80730,2021-03-29
FL,Florida,352170,352170,2021-03-29
GA,Georgia,167310,167310,2021-03-29
KY,Kentucky,73710,73710,2021-03-29
AR,Mississippi,49140,49140,2021-03-29
NC,North Carolina,168480,168480,2021-03-29
SC,South Carolina,83070,83070,2021-03-29
TN,Tennessee,111150,111150,2021-03-29
IL,Chicago,45630,45630,2021-03-29
IL,Illinois,167310,167310,2021-03-29
IN,Indiana,108810,108810,2021-03-29
MI,Michigan,166140,166140,2021-03-29
MN,Minnesota,91260,91260,2021-03-29
IN,Ohio,194220,194220,2021-03-29
WI,Wisconsin,97110,97110,2021-03-29
AR,Arkansas,49140,49140,2021-03-29
LA,Louisiana,77220,77220,2021-03-29
NM,New Mexico,35100,35100,2021-03-29
OK,Oklahoma,64350,64350,2021-03-29
MO,Texas,441090,441090,2021-03-29
IA,Iowa,51480,51480,2021-03-29
AR,Kansas,47970,47970,2021-03-29
MO,Missouri,101790,101790,2021-03-29
NE,Nebraska,31590,31590,2021-03-29
CO,Colorado,92430,92430,2021-03-29
MT,Montana,17550,17550,2021-03-29
ND,North Dakota,12870,12870,2021-03-29
SD,South Dakota,14040,14040,2021-03-29
UT,Utah,46800,46800,2021-03-29
NY,Wyoming,10530,10530,2021-03-29
AZ,Arizona,114660,114660,2021-03-29
CA,California,644670,644670,2021-03-29
HI,Hawaii,24570,24570,2021-03-29
AR,Nevada,49140,49140,2021-03-29
AS,American Samoa,11700,0,2021-03-29
GU,Guam,25740,0,2021-03-29
,Marshall Islands,0,0,2021-03-29
,Micronesia,0,0,2021-03-29
,Mariana Islands,11700,0,2021-03-29
,Palau,0,0,2021-03-29
AK,Alaska,91260,79560,2021-03-29
ID,Idaho,26910,26910,2021-03-29
MO,Oregon,70200,70200,2021-03-29
AL,Washington,122850,122850,2021-03-29
,Federal Entities,201240,201240,2021-03-29
CT,Connecticut,50310,50310,2021-03-22
ME,Maine,19890,19890,2021-03-22
MA,Massachusetts,95940,95940,2021-03-22
NH,New Hampshire,19890,19890,2021-03-22
,Rhode Island,15210,15210,2021-03-22
VT,Vermont,9360,9360,2021-03-22
NJ,New Jersey,120510,120510,2021-03-22
NY,New York,153270,153270,2021-03-22
NY,New York City,117000,117000,2021-03-22
PR,Puerto Rico,47970,47970,2021-03-22
,U.S. Virgin Islands,2340,2340,2021-03-22
DE,Delaware,14040,14040,2021-03-22
DC,District of Columbia,10530,10530,2021-03-22
MD,Maryland,81900,81900,2021-03-22
PA,Pennsylvania,155610,155610,2021-03-22
PA,Philadelphia,22230,22230,2021-03-22
VA,Virginia,114660,114660,2021-03-22
WV,West Virginia,25740,25740,2021-03-22
AL,Alabama,66690,66690,2021-03-22
FL,Florida,286650,286650,2021-03-22
GA,Georgia,136890,136890,2021-03-22
KY,Kentucky,60840,60840,2021-03-22
AR,Mississippi,39780,39780,2021-03-22
NC,North Carolina,138060,138060,2021-03-22
SC,South Carolina,67860,67860,2021-03-22
TN,Tennessee,90090,90090,2021-03-22
IL,Chicago,37440,37440,2021-03-22
IL,Illinois,136890,136890,2021-03-22
IN,Indiana,88920,88920,2021-03-22
MI,Michigan,135720,135720,2021-03-22
MN,Minnesota,74880,74880,2021-03-22
IN,Ohio,157950,157950,2021-03-22
WI,Wisconsin,79560,79560,2021-03-22
AR,Arkansas,39780,39780,2021-03-22
LA,Louisiana,62010,62010,2021-03-22
NM,New Mexico,29250,29250,2021-03-22
OK,Oklahoma,52650,52650,2021-03-22
MO,Texas,359190,359190,2021-03-22
IA,Iowa,42120,42120,2021-03-22
AR,Kansas,38610,38610,2021-03-22
MO,Missouri,83070,83070,2021-03-22
NE,Nebraska,25740,25740,2021-03-22
CO,Colorado,74880,74880,2021-03-22
MT,Montana,15210,15210,2021-03-22
ND,North Dakota,10530,10530,2021-03-22
SD,South Dakota,11700,11700,2021-03-22
UT,Utah,37440,37440,2021-03-22
NY,Wyoming,8190,8190,2021-03-22
AZ,Arizona,93600,93600,2021-03-22
CA,California,524160,524160,2021-03-22
HI,Hawaii,19890,19890,2021-03-22
AR,Nevada,39780,39780,2021-03-22
AS,American Samoa,0,0,2021-03-22
GU,Guam,0,0,2021-03-22
,Marshall Islands,0,0,2021-03-22
,Micronesia,0,0,2021-03-22
,Mariana Islands,0,0,2021-03-22
,Palau,0,0,2021-03-22
AK,Alaska,0,0,2021-03-22
ID,Idaho,22230,22230,2021-03-22
MO,Oregon,57330,57330,2021-03-22
AL,Washington,100620,100620,2021-03-22
,Federal Entities,195390,195390,2021-03-22
CT,Connecticut,49140,49140,2021-03-15
ME,Maine,18720,18720,2021-03-15
MA,Massachusetts,93600,93600,2021-03-15
NH,New Hampshire,18720,18720,2021-03-15
,Rhode Island,15210,15210,2021-03-15
VT,Vermont,9360,9360,2021-03-15
NJ,New Jersey,119340,119340,2021-03-15
NY,New York,150930,150930,2021-03-15
NY,New York City,114660,114660,2021-03-15
PR,Puerto Rico,46800,46800,2021-03-15
,U.S. Virgin Islands,2340,2340,2021-03-15
DE,Delaware,12870,12870,2021-03-15
DC,District of Columbia,10530,10530,2021-03-15
MD,Maryland,80730,80730,2021-03-15
PA,Pennsylvania,153270,153270,2021-03-15
PA,Philadelphia,22230,22230,2021-03-15
VA,Virginia,112320,112320,2021-03-15
WV,West Virginia,25740,25740,2021-03-15
AL,Alabama,65520,65520,2021-03-15
FL,Florida,281970,281970,2021-03-15
GA,Georgia,134550,134550,2021-03-15
KY,Kentucky,59670,59670,2021-03-15
AR,Mississippi,39780,39780,2021-03-15
NC,North Carolina,135720,135720,2021-03-15
SC,South Carolina,66690,66690,2021-03-15
TN,Tennessee,88920,88920,2021-03-15
IL,Chicago,36270,36270,2021-03-15
IL,Illinois,134550,134550,2021-03-15
IN,Indiana,87750,87750,2021-03-15
MI,Michigan,133380,133380,2021-03-15
MN,Minnesota,73710,73710,2021-03-15
IN,Ohio,155610,155610,2021-03-15
WI,Wisconsin,78390,78390,2021-03-15
AR,Arkansas,39780,39780,2021-03-15
LA,Louisiana,62010,62010,2021-03-15
NM,New Mexico,28080,28080,2021-03-15
OK,Oklahoma,51480,51480,2021-03-15
MO,Texas,353340,353340,2021-03-15
IA,Iowa,42120,42120,2021-03-15
AR,Kansas,38610,38610,2021-03-15
MO,Missouri,80730,80730,2021-03-15
NE,Nebraska,25740,25740,2021-03-15
CO,Colorado,73710,73710,2021-03-15
MT,Montana,14040,14040,2021-03-15
ND,North Dakota,10530,10530,2021-03-15
SD,South Dakota,11700,11700,2021-03-15
UT,Utah,37440,37440,2021-03-15
NY,Wyoming,8190,8190,2021-03-15
AZ,Arizona,92430,92430,2021-03-15
CA,California,515970,515970,2021-03-15
HI,Hawaii,19890,19890,2021-03-15
AR,Nevada,38610,38610,2021-03-15
AS,American Samoa,0,0,2021-03-15
GU,Guam,0,0,2021-03-15
,Marshall Islands,0,0,2021-03-15
,Micronesia,0,0,2021-03-15
,Mariana Islands,0,0,2021-03-15
,Palau,0,0,2021-03-15
AK,Alaska,0,0,2021-03-15
ID,Idaho,22230,22230,2021-03-15
MO,Oregon,56160,56160,2021-03-15
AL,Washington,98280,98280,2021-03-15
,Federal Entities,182520,182520,2021-03-15
CT,Connecticut,45630,45630,2021-03-08
ME,Maine,17550,17550,2021-03-08
MA,Massachusetts,87750,87750,2021-03-08
NH,New Hampshire,17550,17550,2021-03-08
,Rhode Island,14040,14040,2021-03-08
VT,Vermont,8190,8190,2021-03-08
NJ,New Jersey,111150,111150,2021-03-08
NY,New York,140400,140400,2021-03-08
NY,New York City,106470,106470,2021-03-08
PR,Puerto Rico,43290,43290,2021-03-08
,U.S. Virgin Islands,2340,2340,2021-03-08
DE,Delaware,12870,12870,2021-03-08
DC,District of Columbia,9360,9360,2021-03-08
MD,Maryland,74880,74880,2021-03-08
PA,Pennsylvania,141570,141570,2021-03-08
PA,Philadelphia,19890,19890,2021-03-08
VA,Virginia,105300,105300,2021-03-08
WV,West Virginia,23400,23400,2021-03-08
AL,Alabama,60840,60840,2021-03-08
FL,Florida,262080,262080,2021-03-08
GA,Georgia,125190,125190,2021-03-08
KY,Kentucky,54990,54990,2021-03-08
AR,Mississippi,36270,36270,2021-03-08
NC,North Carolina,126360,126360,2021-03-08
SC,South Carolina,62010,62010,2021-03-08
TN,Tennessee,83070,83070,2021-03-08
IL,Chicago,33930,33930,2021-03-08
IL,Illinois,125190,125190,2021-03-08
IN,Indiana,80730,80730,2021-03-08
MI,Michigan,124020,124020,2021-03-08
MN,Minnesota,67860,67860,2021-03-08
IN,Ohio,143910,143910,2021-03-08
WI,Wisconsin,72540,72540,2021-03-08
AR,Arkansas,37440,37440,2021-03-08
LA,Louisiana,57330,57330,2021-03-08
NM,New Mexico,25740,25740,2021-03-08
OK,Oklahoma,47970,47970,2021-03-08
MO,Texas,328770,328770,2021-03-08
IA,Iowa,38610,38610,2021-03-08
AR,Kansas,35100,35100,2021-03-08
MO,Missouri,76050,76050,2021-03-08
NE,Nebraska,23400,23400,2021-03-08
CO,Colorado,69030,69030,2021-03-08
MT,Montana,14040,14040,2021-03-08
ND,North Dakota,10530,10530,2021-03-08
SD,South Dakota,10530,10530,2021-03-08
UT,Utah,35100,35100,2021-03-08
NY,Wyoming,8190,8190,2021-03-08
AZ,Arizona,85410,85410,2021-03-08
CA,California,479700,479700,2021-03-08
HI,Hawaii,18720,18720,2021-03-08
AR,Nevada,36270,36270,2021-03-08
AS,American Samoa,0,0,2021-03-08
GU,Guam,0,0,2021-03-08
,Marshall Islands,0,0,2021-03-08
,Micronesia,0,0,2021-03-08
,Mariana Islands,0,0,2021-03-08
,Palau,0,0,2021-03-08
AK,Alaska,0,0,2021-03-08
ID,Idaho,19890,19890,2021-03-08
MO,Oregon,51480,51480,2021-03-08
AL,Washington,91260,91260,2021-03-08
,Federal Entities,230490,221130,2021-03-08
AL,Alabama,54990,54990,2021-03-01
AK,Alaska,53820,53820,2021-03-01
AS,American Samoa,9360,0,2021-03-01
AZ,Arizona,78390,78390,2021-03-01
AR,Arkansas,33930,33930,2021-03-01
CA,California,438750,438750,2021-03-01
IL,Chicago,31590,31590,2021-03-01
CO,Colorado,63180,63180,2021-03-01
CT,Connecticut,42120,42120,2021-03-01
DE,Delaware,11700,11700,2021-03-01
DC,District of Columbia,9360,9360,2021-03-01
,Federal Entities,209430,190710,2021-03-01
FL,Florida,239850,239850,2021-03-01
GA,Georgia,114660,114660,2021-03-01
GU,Guam,21060,0,2021-03-01
HI,Hawaii,16380,16380,2021-03-01
ID,Idaho,18720,18720,2021-03-01
IL,Illinois,114660,114660,2021-03-01
IN,Indiana,74880,74880,2021-03-01
IA,Iowa,35100,35100,2021-03-01
AR,Kansas,32760,32760,2021-03-01
KY,Kentucky,50310,50310,2021-03-01
LA,Louisiana,52650,52650,2021-03-01
ME,Maine,16380,16380,2021-03-01
,Mariana Islands,9360,0,2021-03-01
,Marshall Islands,0,0,2021-03-01
MD,Maryland,69030,69030,2021-03-01
MA,Massachusetts,79560,79560,2021-03-01
MI,Michigan,113490,113490,2021-03-01
,Micronesia,0,0,2021-03-01
MN,Minnesota,62010,62010,2021-03-01
AR,Mississippi,33930,33930,2021-03-01
MO,Missouri,69030,69030,2021-03-01
MT,Montana,12870,12870,2021-03-01
NE,Nebraska,22230,22230,2021-03-01
AR,Nevada,33930,33930,2021-03-01
NH,New Hampshire,16380,16380,2021-03-01
NJ,New Jersey,101790,101790,2021-03-01
NM,New Mexico,24570,24570,2021-03-01
NY,New York,128700,128700,2021-03-01
NY,New York City,98280,98280,2021-03-01
NC,North Carolina,115830,115830,2021-03-01
ND,North Dakota,9360,9360,2021-03-01
IN,Ohio,132210,132210,2021-03-01
OK,Oklahoma,43290,43290,2021-03-01
MO,Oregon,47970,47970,2021-03-01
,Palau,0,0,2021-03-01
PA,Pennsylvania,129870,129870,2021-03-01
PA,Philadelphia,18720,18720,2021-03-01
PR,Puerto Rico,39780,39780,2021-03-01
,Rhode Island,12870,12870,2021-03-01
SC,South Carolina,57330,57330,2021-03-01
SD,South Dakota,10530,10530,2021-03-01
TN,Tennessee,76050,76050,2021-03-01
MO,Texas,300690,300690,2021-03-01
,U.S. Virgin Islands,2340,2340,2021-03-01
UT,Utah,31590,31590,2021-03-01
VT,Vermont,8190,8190,2021-03-01
VA,Virginia,95940,95940,2021-03-01
AL,Washington,84240,84240,2021-03-01
WV,West Virginia,22230,22230,2021-03-01
WI,Wisconsin,66690,66690,2021-03-01
NY,Wyoming,7020,7020,2021-03-01
AL,Alabama,47970,47970,2021-02-22
AK,Alaska,0,0,2021-02-22
AS,American Samoa,0,0,2021-02-22
AZ,Arizona,69030,69030,2021-02-22
AR,Arkansas,29250,29250,2021-02-22
CA,California,382590,382590,2021-02-22
IL,Chicago,26910,26910,2021-02-22
CO,Colorado,54990,54990,2021-02-22
CT,Connecticut,36270,36270,2021-02-22
DE,Delaware,10530,10530,2021-02-22
DC,District of Columbia,8190,8190,2021-02-22
,Federal Entities,166140,166140,2021-02-22
FL,Florida,209430,209430,2021-02-22
GA,Georgia,99450,99450,2021-02-22
GU,Guam,0,0,2021-02-22
HI,Hawaii,15210,15210,2021-02-22
ID,Idaho,16380,16380,2021-02-22
IL,Illinois,99450,99450,2021-02-22
IN,Indiana,64350,64350,2021-02-22
IA,Iowa,31590,31590,2021-02-22
AR,Kansas,28080,28080,2021-02-22
KY,Kentucky,44460,44460,2021-02-22
LA,Louisiana,45630,45630,2021-02-22
ME,Maine,14040,14040,2021-02-22
,Mariana Islands,0,0,2021-02-22
,Marshall Islands,0,0,2021-02-22
MD,Maryland,59670,59670,2021-02-22
MA,Massachusetts,70200,70200,2021-02-22
MI,Michigan,99450,99450,2021-02-22
,Micronesia,0,0,2021-02-22
MN,Minnesota,54990,54990,2021-02-22
AR,Mississippi,29250,29250,2021-02-22
MO,Missouri,60840,60840,2021-02-22
MT,Montana,10530,10530,2021-02-22
NE,Nebraska,18720,18720,2021-02-22
AR,Nevada,29250,29250,2021-02-22
NH,New Hampshire,14040,14040,2021-02-22
NJ,New Jersey,88920,88920,2021-02-22
NM,New Mexico,21060,21060,2021-02-22
NY,New York,112320,112320,2021-02-22
NY,New York City,85410,85410,2021-02-22
NC,North Carolina,100620,100620,2021-02-22
ND,North Dakota,8190,8190,2021-02-22
IN,Ohio,115830,115830,2021-02-22
OK,Oklahoma,38610,38610,2021-02-22
MO,Oregon,42120,42120,2021-02-22
,Palau,0,0,2021-02-22
PA,Pennsylvania,113490,113490,2021-02-22
PA,Philadelphia,16380,16380,2021-02-22
PR,Puerto Rico,35100,35100,2021-02-22
,Rhode Island,11700,11700,2021-02-22
SC,South Carolina,49140,49140,2021-02-22
SD,South Dakota,9360,9360,2021-02-22
TN,Tennessee,65520,65520,2021-02-22
MO,Texas,262080,262080,2021-02-22
,U.S. Virgin Islands,1170,1170,2021-02-22
UT,Utah,28080,28080,2021-02-22
VT,Vermont,7020,7020,2021-02-22
VA,Virginia,84240,84240,2021-02-22
AL,Washington,73710,73710,2021-02-22
WV,West Virginia,18720,18720,2021-02-22
WI,Wisconsin,58500,58500,2021-02-22
NY,Wyoming,5850,5850,2021-02-22
AL,Alabama,30225,30225,2021-02-15
AK,Alaska,0,0,2021-02-15
AS,American Samoa,0,0,2021-02-15
AZ,Arizona,42900,42900,2021-02-15
AR,Arkansas,18525,18525,2021-02-15
CA,California,241800,241800,2021-02-15
IL,Chicago,17550,17550,2021-02-15
CO,Colorado,35100,35100,2021-02-15
CT,Connecticut,23400,23400,2021-02-15
DE,Delaware,6825,6825,2021-02-15
DC,District of Columbia,4875,4875,2021-02-15
,Federal Entities,105300,105300,2021-02-15
FL,Florida,132600,132600,2021-02-15
GA,Georgia,63375,63375,2021-02-15
GU,Guam,0,0,2021-02-15
HI,Hawaii,9750,9750,2021-02-15
ID,Idaho,10725,10725,2021-02-15
IL,Illinois,63375,63375,2021-02-15
IN,Indiana,40950,40950,2021-02-15
IA,Iowa,19500,19500,2021-02-15
AR,Kansas,18525,18525,2021-02-15
KY,Kentucky,28275,28275,2021-02-15
LA,Louisiana,29250,29250,2021-02-15
ME,Maine,8775,8775,2021-02-15
,Mariana Islands,0,0,2021-02-15
,Marshall Islands,0,0,2021-02-15
MD,Maryland,38025,38025,2021-02-15
MA,Massachusetts,43875,43875,2021-02-15
MI,Michigan,62400,62400,2021-02-15
,Micronesia,0,0,2021-02-15
MN,Minnesota,34125,34125,2021-02-15
AR,Mississippi,18525,18525,2021-02-15
MO,Missouri,38025,38025,2021-02-15
MT,Montana,6825,6825,2021-02-15
NE,Nebraska,11700,11700,2021-02-15
AR,Nevada,18525,18525,2021-02-15
NH,New Hampshire,8775,8775,2021-02-15
NJ,New Jersey,55575,55575,2021-02-15
NM,New Mexico,13650,13650,2021-02-15
NY,New York,71175,71175,2021-02-15
NY,New York City,53625,53625,2021-02-15
NC,North Carolina,63375,63375,2021-02-15
ND,North Dakota,4875,4875,2021-02-15
IN,Ohio,73125,73125,2021-02-15
OK,Oklahoma,24375,24375,2021-02-15
MO,Oregon,26325,26325,2021-02-15
,Palau,0,0,2021-02-15
PA,Pennsylvania,71175,71175,2021-02-15
PA,Philadelphia,10725,10725,2021-02-15
PR,Puerto Rico,22425,22425,2021-02-15
,Rhode Island,6825,6825,2021-02-15
SC,South Carolina,31200,31200,2021-02-15
SD,South Dakota,5850,5850,2021-02-15
TN,Tennessee,41925,41925,2021-02-15
MO,Texas,165750,165750,2021-02-15
,U.S. Virgin Islands,975,975,2021-02-15
UT,Utah,17550,17550,2021-02-15
VT,Vermont,4875,4875,2021-02-15
VA,Virginia,52650,52650,2021-02-15
AL,Washington,46800,46800,2021-02-15
WV,West Virginia,11700,11700,2021-02-15
WI,Wisconsin,37050,37050,2021-02-15
NY,Wyoming,3900,3900,2021-02-15
AL,Alabama,30225,30225,2021-02-08
AK,Alaska,0,0,2021-02-08
AS,American Samoa,0,0,2021-02-08
AZ,Arizona,42900,42900,2021-02-08
AR,Arkansas,18525,18525,2021-02-08
CA,California,241800,241800,2021-02-08
IL,Chicago,17550,17550,2021-02-08
CO,Colorado,35100,35100,2021-02-08
CT,Connecticut,23400,23400,2021-02-08
DE,Delaware,6825,6825,2021-02-08
DC,District of Columbia,4875,4875,2021-02-08
,Federal Entities,105300,105300,2021-02-08
FL,Florida,132600,132600,2021-02-08
GA,Georgia,63375,63375,2021-02-08
GU,Guam,0,0,2021-02-08
TN,Tennessee,41925,41925,2021-01-18
MO,Texas,165750,165750,2021-01-18
,U.S. Virgin Islands,975,975,2021-01-18
UT,Utah,17550,17550,2021-01-18
VT,Vermont,4875,4875,2021-01-18
VA,Virginia,52650,52650,2021-01-18
AL,Washington,46800,46800,2021-01-18
WV,West Virginia,11700,11700,2021-01-18
WI,Wisconsin,37050,37050,2021-01-18
NY,Wyoming,3900,3900,2021-01-18
AL,Alabama,29250,29250,2021-01-11
AK,Alaska,0,0,2021-01-11
AS,American Samoa,0,0,2021-01-11
AZ,Arizona,41925,41925,2021-01-11
AR,Arkansas,18525,18525,2021-01-11
CA,California,233025,233025,2021-01-11
IL,Chicago,16575,16575,2021-01-11
CO,Colorado,33150,33150,2021-01-11
CT,Connecticut,22425,22425,2021-01-11
DE,Delaware,5850,5850,2021-01-11
DC,District of Columbia,4875,4875,2021-01-11
,Federal Entities,102375,102375,2021-01-11
FL,Florida,127725,127725,2021-01-11
GA,Georgia,60450,60450,2021-01-11
GU,Guam,0,0,2021-01-11
HI,Hawaii,8775,8775,2021-01-11
ID,Idaho,9750,9750,2021-01-11
IL,Illinois,60450,60450,2021-01-11
IN,Indiana,39975,39975,2021-01-11
IA,Iowa,19500,19500,2021-01-11
AR,Kansas,17550,17550,2021-01-11
KY,Kentucky,27300,27300,2021-01-11
LA,Louisiana,28275,28275,2021-01-11
ME,Maine,8775,8775,2021-01-11
,Mariana Islands,0,0,2021-01-11
,Marshall Islands,0,0,2021-01-11
MD,Maryland,36075,36075,2021-01-11
MA,Massachusetts,42900,42900,2021-01-11
MI,Michigan,60450,60450,2021-01-11
,Micronesia,0,0,2021-01-11
MN,Minnesota,33150,33150,2021-01-11
AR,Mississippi,17550,17550,2021-01-11
MO,Missouri,37050,37050,2021-01-11
MT,Montana,6825,6825,2021-01-11
NE,Nebraska,11700,11700,2021-01-11
AR,Nevada,17550,17550,2021-01-11
NH,New Hampshire,8775,8775,2021-01-11
NJ,New Jersey,53625,53625,2021-01-11
NM,New Mexico,12675,12675,2021-01-11
NY,New York,68250,68250,2021-01-11
NY,New York City,51675,51675,2021-01-11
NC,North Carolina,61425,61425,2021-01-11
ND,North Dakota,4875,4875,2021-01-11
IN,Ohio,70200,70200,2021-01-11
OK,Oklahoma,23400,23400,2021-01-11
MO,Oregon,25350,25350,2021-01-11
,Palau,0,0,2021-01-11
PA,Pennsylvania,69225,69225,2021-01-11
PA,Philadelphia,9750,9750,2021-01-11
PR,Puerto Rico,21450,21450,2021-01-11
,Rhode Island,6825,6825,2021-01-11
SC,South Carolina,30225,30225,2021-01-11
SD,South Dakota,5850,5850,2021-01-11
TN,Tennessee,39975,39975,2021-01-11
MO,Texas,159900,159900,2021-01-11
,U.S. Virgin Islands,975,975,2021-01-11
UT,Utah,16575,16575,2021-01-11
VT,Vermont,4875,4875,2021-01-11
VA,Virginia,50700,50700,2021-01-11
AL,Washington,57525,57525,2021-01-11
WV,West Virginia,11700,11700,2021-01-11
WI,Wisconsin,35100,35100,2021-01-11
NY,Wyoming,3900,3900,2021-01-11
AL,Alabama,29250,29250,2021-01-04
AK,Alaska,27300,27300,2021-01-04
AS,American Samoa,7800,0,2021-01-04
AZ,Arizona,41925,41925,2021-01-04
AR,Arkansas,18525,18525,2021-01-04
CA,California,232050,232050,2021-01-04
IL,Chicago,16575,16575,2021-01-04
CO,Colorado,33150,33150,2021-01-04
CT,Connecticut,22425,22425,2021-01-04
DE,Delaware,5850,5850,2021-01-04
DC,District of Columbia,4875,4875,2021-01-04
,Federal Entities,117000,101400,2021-01-04
FL,Florida,126750,126750,2021-01-04
GA,Georgia,60450,60450,2021-01-04
GU,Guam,7800,0,2021-01-04
HI,Hawaii,8775,8775,2021-01-04
ID,Idaho,9750,9750,2021-01-04
IL,Illinois,60450,60450,2021-01-04
IN,Indiana,39000,39000,2021-01-04
IA,Iowa,18525,18525,2021-01-04
AR,Kansas,17550,17550,2021-01-04
KY,Kentucky,27300,27300,2021-01-04
LA,Louisiana,28275,28275,2021-01-04
ME,Maine,8775,8775,2021-01-04
,Mariana Islands,7800,0,2021-01-04
,Marshall Islands,0,0,2021-01-04
MD,Maryland,36075,36075,2021-01-04
MA,Massachusetts,42900,42900,2021-01-04
MI,Michigan,60450,60450,2021-01-04
,Micronesia,0,0,2021-01-04
MN,Minnesota,33150,33150,2021-01-04
AR,Mississippi,17550,17550,2021-01-04
MO,Missouri,37050,37050,2021-01-04
MT,Montana,6825,6825,2021-01-04
NE,Nebraska,11700,11700,2021-01-04
AR,Nevada,17550,17550,2021-01-04
NH,New Hampshire,8775,8775,2021-01-04
NJ,New Jersey,53625,53625,2021-01-04
NM,New Mexico,12675,12675,2021-01-04
NY,New York,68250,68250,2021-01-04
NY,New York City,51675,51675,2021-01-04
NC,North Carolina,61425,61425,2021-01-04
ND,North Dakota,4875,4875,2021-01-04
IN,Ohio,70200,70200,2021-01-04
OK,Oklahoma,23400,23400,2021-01-04
MO,Oregon,25350,25350,2021-01-04
,Palau,0,0,2021-01-04
PA,Pennsylvania,69225,69225,2021-01-04
PA,Philadelphia,9750,9750,2021-01-04
PR,Puerto Rico,21450,21450,2021-01-04
,Rhode Island,6825,6825,2021-01-04
SC,South Carolina,30225,30225,2021-01-04
SD,South Dakota,5850,5850,2021-01-04
TN,Tennessee,39975,39975,2021-01-04
MO,Texas,158925,158925,2021-01-04
,U.S. Virgin Islands,975,975,2021-01-04
UT,Utah,16575,16575,2021-01-04
VT,Vermont,3900,3900,2021-01-04
VA,Virginia,50700,50700,2021-01-04
AL,Washington,44850,44850,2021-01-04
WV,West Virginia,11700,11700,2021-01-04
WI,Wisconsin,35100,35100,2021-01-04
NY,Wyoming,3900,3900,2021-01-04
AL,Alabama,38025,38025,2020-12-28
AK,Alaska,0,0,2020-12-28
AS,American Samoa,0,0,2020-12-28
AZ,Arizona,53625,53625,2020-12-28
AR,Arkansas,23400,23400,2020-12-28
CA,California,297375,297375,2020-12-28
IL,Chicago,21450,21450,2020-12-28
CO,Colorado,42900,42900,2020-12-28
CT,Connecticut,28275,28275,2020-12-28
DE,Delaware,7800,7800,2020-12-28
DC,District of Columbia,5850,5850,2020-12-28
,Federal Entities,128700,128700,2020-12-28
FL,Florida,162825,162825,2020-12-28
GA,Georgia,77025,77025,2020-12-28
GU,Guam,0,0,2020-12-28
HI,Hawaii,11700,11700,2020-12-28
ID,Idaho,12675,12675,2020-12-28
IL,Illinois,78000,78000,2020-12-28
IN,Indiana,50700,50700,2020-12-28
IA,Iowa,24375,24375,2020-12-28
AR,Kansas,22425,22425,2020-12-28
KY,Kentucky,34125,34125,2020-12-28
LA,Louisiana,36075,36075,2020-12-28
ME,Maine,10725,10725,2020-12-28
,Mariana Islands,0,0,2020-12-28
,Marshall Islands,0,0,2020-12-28
MD,Maryland,46800,46800,2020-12-28
MA,Massachusetts,54600,54600,2020-12-28
MI,Michigan,77025,77025,2020-12-28
,Micronesia,0,0,2020-12-28
MN,Minnesota,42900,42900,2020-12-28
AR,Mississippi,22425,22425,2020-12-28
MO,Missouri,46800,46800,2020-12-28
MT,Montana,8775,8775,2020-12-28
NE,Nebraska,14625,14625,2020-12-28
AR,Nevada,22425,22425,2020-12-28
NH,New Hampshire,10725,10725,2020-12-28
NJ,New Jersey,68250,68250,2020-12-28
NM,New Mexico,16575,16575,2020-12-28
NY,New York,87750,87750,2020-12-28
NY,New York City,66300,66300,2020-12-28
NC,North Carolina,78000,78000,2020-12-28
ND,North Dakota,5850,5850,2020-12-28
IN,Ohio,89700,89700,2020-12-28
OK,Oklahoma,29250,29250,2020-12-28
MO,Oregon,32175,32175,2020-12-28
,Palau,0,0,2020-12-28
PA,Pennsylvania,88725,88725,2020-12-28
