stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
IA,Iowa,19500,19500,2021-01-25
AR,Kansas,18525,18525,2021-01-25
KY,Kentucky,28275,28275,2021-01-25
LA,Louisiana,29250,29250,2021-01-25
ME,Maine,8775,8775,2021-01-25
,Mariana Islands,0,0,2021-01-25
,Marshall Islands,0,0,2021-01-25
MD,Maryland,38025,38025,2021-01-25
MA,Massachusetts,43875,43875,2021-01-25
MI,Michigan,62400,62400,2021-01-25
,Micronesia,0,0,2021-01-25
MN,Minnesota,34125,34125,2021-01-25
AR,Mississippi,18525,18525,2021-01-25
MO,Missouri,38025,38025,2021-01-25
MT,Montana,6825,6825,2021-01-25
NE,Nebraska,11700,11700,2021-01-25
AR,Nevada,18525,18525,2021-01-25
NH,New Hampshire,8775,8775,2021-01-25
NJ,New Jersey,55575,55575,2021-01-25
NM,New Mexico,13650,13650,2021-01-25
NY,New York,71175,71175,2021-01-25
NY,New York City,53625,53625,2021-01-25
NC,North Carolina,63375,63375,2021-01-25
ND,North Dakota,4875,4875,2021-01-25
IN,Ohio,73125,73125,2021-01-25
OK,Oklahoma,24375,24375,2021-01-25
MO,Oregon,26325,26325,2021-01-25
,Palau,0,0,2021-01-25
PA,Pennsylvania,71175,71175,2021-01-25
PA,Philadelphia,10725,10725,2021-01-25
PR,Puerto Rico,22425,22425,2021-01-25
,Rhode Island,6825,6825,2021-01-25
SC,South Carolina,31200,31200,2021-01-25
SD,South Dakota,5850,5850,2021-01-25
TN,Tennessee,41925,41925,2021-01-25
MO,Texas,165750,165750,2021-01-25
,U.S. Virgin Islands,975,975,2021-01-25
UT,Utah,17550,17550,2021-01-25
VT,Vermont,4875,4875,2021-01-25
VA,Virginia,52650,52650,2021-01-25
AL,Washington,46800,46800,2021-01-25
WV,West Virginia,11700,11700,2021-01-25
WI,Wisconsin,37050,37050,2021-01-25
NY,Wyoming,3900,3900,2021-01-25
AL,Alabama,30225,30225,2021-01-18
AK,Alaska,0,0,2021-01-18
AS,American Samoa,0,0,2021-01-18
AZ,Arizona,42900,42900,2021-01-18
AR,Arkansas,18525,18525,2021-01-18
CA,California,241800,241800,2021-01-18
IL,Chicago,17550,17550,2021-01-18
CO,Colorado,35100,35100,2021-01-18
CT,Connecticut,23400,23400,2021-01-18
DE,Delaware,6825,6825,2021-01-18
DC,District of Columbia,4875,4875,2021-01-18
,Federal Entities,105300,105300,2021-01-18
FL,Florida,132600,132600,2021-01-18
GA,Georgia,63375,63375,2021-01-18
GU,Guam,0,0,2021-01-18
HI,Hawaii,9750,9750,2021-01-18
ID,Idaho,10725,10725,2021-01-18
IL,Illinois,63375,63375,2021-01-18
IN,Indiana,40950,40950,2021-01-18
IA,Iowa,19500,19500,2021-01-18
AR,Kansas,18525,18525,2021-01-18
KY,Kentucky,28275,28275,2021-01-18
LA,Louisiana,29250,29250,2021-01-18
ME,Maine,8775,8775,2021-01-18
,Mariana Islands,0,0,2021-01-18
,Marshall Islands,0,0,2021-01-18
MD,Maryland,38025,38025,2021-01-18
MA,Massachusetts,43875,43875,2021-01-18
MI,Michigan,62400,62400,2021-01-18
,Micronesia,0,0,2021-01-18
MN,Minnesota,34125,34125,2021-01-18
AR,Mississippi,18525,18525,2021-01-18
MO,Missouri,38025,38025,2021-01-18
MT,Montana,6825,6825,2021-01-18
NE,Nebraska,11700,11700,2021-01-18
AR,Nevada,18525,18525,2021-01-18
NH,New Hampshire,8775,8775,2021-01-18
NJ,New Jersey,55575,55575,2021-01-18
NM,New Mexico,13650,13650,2021-01-18
NY,New York,71175,71175,2021-01-18
NY,New York City,53625,53625,2021-01-18
NC,North Carolina,63375,63375,2021-01-18
ND,North Dakota,4875,4875,2021-01-18
IN,Ohio,73125,73125,2021-01-18
OK,Oklahoma,24375,24375,2021-01-18
MO,Oregon,26325,26325,2021-01-18
,Palau,0,0,2021-01-18
PA,Pennsylvania,71175,71175,2021-01-18
PA,Philadelphia,10725,10725,2021-01-18
PR,Puerto Rico,22425,22425,2021-01-18
,Rhode Island,6825,6825,2021-01-18
SC,South Carolina,31200,31200,2021-01-18
SD,South Dakota,5850,5850,2021-01-18
CT,Connecticut,54990,54990,2021-05-17
ME,Maine,21060,21060,2021-05-17
MA,Massachusetts,105300,105300,2021-05-17
NH,New Hampshire,21060,21060,2021-05-17
,Rhode Island,16380,16380,2021-05-17
VT,Vermont,10530,10530,2021-05-17
NJ,New Jersey,132210,132210,2021-05-17
NY,New York,168480,168480,2021-05-17
NY,New York City,128700,128700,2021-05-17
PR,Puerto Rico,52650,52650,2021-05-17
,U.S. Virgin Islands,2340,2340,2021-05-17
DE,Delaware,15210,15210,2021-05-17
DC,District of Columbia,11700,11700,2021-05-17
MD,Maryland,90090,90090,2021-05-17
PA,Pennsylvania,170820,170820,2021-05-17
PA,Philadelphia,24570,24570,2021-05-17
VA,Virginia,126360,126360,2021-05-17
WV,West Virginia,28080,28080,2021-05-17
AL,Alabama,72540,72540,2021-05-17
FL,Florida,314730,314730,2021-05-17
GA,Georgia,149760,149760,2021-05-17
KY,Kentucky,66690,66690,2021-05-17
AR,Mississippi,44460,44460,2021-05-17
NC,North Carolina,150930,150930,2021-05-17
SC,South Carolina,74880,74880,2021-05-17
TN,Tennessee,99450,99450,2021-05-17
IL,Chicago,40950,40950,2021-05-17
IL,Illinois,149760,149760,2021-05-17
IN,Indiana,97110,97110,2021-05-17
MI,Michigan,148590,148590,2021-05-17
MN,Minnesota,81900,81900,2021-05-17
IN,Ohio,173160,173160,2021-05-17
WI,Wisconsin,86580,86580,2021-05-17
AR,Arkansas,44460,44460,2021-05-17
LA,Louisiana,69030,69030,2021-05-17
NM,New Mexico,31590,31590,2021-05-17
OK,Oklahoma,57330,57330,2021-05-17
MO,Texas,394290,394290,2021-05-17
IA,Iowa,46800,46800,2021-05-17
AR,Kansas,42120,42120,2021-05-17
MO,Missouri,90090,90090,2021-05-17
NE,Nebraska,28080,28080,2021-05-17
CO,Colorado,81900,81900,2021-05-17
MT,Montana,16380,16380,2021-05-17
ND,North Dakota,11700,11700,2021-05-17
SD,South Dakota,12870,12870,2021-05-17
UT,Utah,40950,40950,2021-05-17
NY,Wyoming,9360,9360,2021-05-17
AZ,Arizona,102960,102960,2021-05-17
CA,California,575640,575640,2021-05-17
HI,Hawaii,22230,22230,2021-05-17
AR,Nevada,43290,43290,2021-05-17
AS,American Samoa,0,0,2021-05-17
GU,Guam,0,0,2021-05-17
,Marshall Islands,0,0,2021-05-17
,Micronesia,0,0,2021-05-17
,Mariana Islands,0,0,2021-05-17
,Palau,0,0,2021-05-17
AK,Alaska,16380,16380,2021-05-17
ID,Idaho,24570,24570,2021-05-17
MO,Oregon,62010,62010,2021-05-17
AL,Washington,109980,109980,2021-05-17
,Federal Entities,218790,218790,2021-05-17
CT,Connecticut,54990,54990,2021-05-10
ME,Maine,21060,21060,2021-05-10
MA,Massachusetts,105300,105300,2021-05-10
NH,New Hampshire,21060,21060,2021-05-10
,Rhode Island,16380,16380,2021-05-10
VT,Vermont,10530,10530,2021-05-10
NJ,New Jersey,132210,132210,2021-05-10
NY,New York,168480,168480,2021-05-10
NY,New York City,128700,128700,2021-05-10
PR,Puerto Rico,52650,52650,2021-05-10
,U.S. Virgin Islands,2340,2340,2021-05-10
DE,Delaware,15210,15210,2021-05-10
DC,District of Columbia,11700,11700,2021-05-10
MD,Maryland,90090,90090,2021-05-10
PA,Pennsylvania,170820,170820,2021-05-10
PA,Philadelphia,24570,24570,2021-05-10
VA,Virginia,126360,126360,2021-05-10
WV,West Virginia,28080,28080,2021-05-10
AL,Alabama,72540,72540,2021-05-10
FL,Florida,314730,314730,2021-05-10
GA,Georgia,149760,149760,2021-05-10
KY,Kentucky,66690,66690,2021-05-10
AR,Mississippi,44460,44460,2021-05-10
NC,North Carolina,150930,150930,2021-05-10
SC,South Carolina,74880,74880,2021-05-10
TN,Tennessee,99450,99450,2021-05-10
IL,Chicago,40950,40950,2021-05-10
IL,Illinois,149760,149760,2021-05-10
IN,Indiana,97110,97110,2021-05-10
MI,Michigan,148590,148590,2021-05-10
MN,Minnesota,81900,81900,2021-05-10
IN,Ohio,173160,173160,2021-05-10
WI,Wisconsin,86580,86580,2021-05-10
AR,Arkansas,44460,44460,2021-05-10
LA,Louisiana,69030,69030,2021-05-10
NM,New Mexico,31590,31590,2021-05-10
OK,Oklahoma,57330,57330,2021-05-10
MO,Texas,394290,394290,2021-05-10
IA,Iowa,46800,46800,2021-05-10
AR,Kansas,42120,42120,2021-05-10
MO,Missouri,90090,90090,2021-05-10
NE,Nebraska,28080,28080,2021-05-10
CO,Colorado,81900,81900,2021-05-10
MT,Montana,16380,16380,2021-05-10
ND,North Dakota,11700,11700,2021-05-10
SD,South Dakota,12870,12870,2021-05-10
UT,Utah,40950,40950,2021-05-10
NY,Wyoming,9360,9360,2021-05-10
AZ,Arizona,102960,102960,2021-05-10
CA,California,575640,575640,2021-05-10
HI,Hawaii,22230,22230,2021-05-10
AR,Nevada,43290,43290,2021-05-10
AS,American Samoa,0,0,2021-05-10
GU,Guam,0,0,2021-05-10
,Marshall Islands,0,0,2021-05-10
,Micronesia,0,0,2021-05-10
,Mariana Islands,0,0,2021-05-10
,Palau,0,0,2021-05-10
AK,Alaska,16380,16380,2021-05-10
ID,Idaho,24570,24570,2021-05-10
MO,Oregon,62010,62010,2021-05-10
AL,Washington,109980,109980,2021-05-10
,Federal Entities,218790,218790,2021-05-10
CT,Connecticut,54990,54990,2021-05-03
ME,Maine,21060,21060,2021-05-03
MA,Massachusetts,105300,105300,2021-05-03
NH,New Hampshire,21060,21060,2021-05-03
,Rhode Island,16380,16380,2021-05-03
VT,Vermont,10530,10530,2021-05-03
NJ,New Jersey,132210,132210,2021-05-03
NY,New York,168480,168480,2021-05-03
NY,New York City,128700,128700,2021-05-03
PR,Puerto Rico,52650,52650,2021-05-03
,U.S. Virgin Islands,2340,2340,2021-05-03
DE,Delaware,15210,15210,2021-05-03
DC,District of Columbia,11700,11700,2021-05-03
MD,Maryland,90090,90090,2021-05-03
PA,Pennsylvania,170820,170820,2021-05-03
PA,Philadelphia,24570,24570,2021-05-03
VA,Virginia,126360,126360,2021-05-03
WV,West Virginia,28080,28080,2021-05-03
AL,Alabama,72540,72540,2021-05-03
FL,Florida,314730,314730,2021-05-03
GA,Georgia,149760,149760,2021-05-03
KY,Kentucky,66690,66690,2021-05-03
AR,Mississippi,44460,44460,2021-05-03
NC,North Carolina,150930,150930,2021-05-03
SC,South Carolina,74880,74880,2021-05-03
TN,Tennessee,99450,99450,2021-05-03
IL,Chicago,40950,40950,2021-05-03
IL,Illinois,149760,149760,2021-05-03
IN,Indiana,97110,97110,2021-05-03
MI,Michigan,148590,148590,2021-05-03
MN,Minnesota,81900,81900,2021-05-03
IN,Ohio,173160,173160,2021-05-03
WI,Wisconsin,86580,86580,2021-05-03
AR,Arkansas,44460,44460,2021-05-03
LA,Louisiana,69030,69030,2021-05-03
NM,New Mexico,31590,31590,2021-05-03
OK,Oklahoma,57330,57330,2021-05-03
MO,Texas,394290,394290,2021-05-03
IA,Iowa,46800,46800,2021-05-03
AR,Kansas,42120,42120,2021-05-03
MO,Missouri,90090,90090,2021-05-03
NE,Nebraska,28080,28080,2021-05-03
CO,Colorado,81900,81900,2021-05-03
MT,Montana,16380,16380,2021-05-03
ND,North Dakota,11700,11700,2021-05-03
SD,South Dakota,12870,12870,2021-05-03
UT,Utah,40950,40950,2021-05-03
NY,Wyoming,9360,9360,2021-05-03
AZ,Arizona,102960,102960,2021-05-03
CA,California,575640,575640,2021-05-03
HI,Hawaii,22230,22230,2021-05-03
AR,Nevada,43290,43290,2021-05-03
AS,American Samoa,0,0,2021-05-03
GU,Guam,0,0,2021-05-03
,Marshall Islands,0,0,2021-05-03
,Micronesia,0,0,2021-05-03
,Mariana Islands,0,0,2021-05-03
,Palau,0,0,2021-05-03
AK,Alaska,18720,18720,2021-05-03
ID,Idaho,24570,24570,2021-05-03
MO,Oregon,62010,62010,2021-05-03
AL,Washington,109980,109980,2021-05-03
,Federal Entities,218790,218790,2021-05-03
CT,Connecticut,54990,54990,2021-04-26
ME,Maine,21060,21060,2021-04-26
MA,Massachusetts,105300,105300,2021-04-26
NH,New Hampshire,21060,21060,2021-04-26
