stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
LA,Louisiana,47000,47000,2021-04-05
NM,New Mexico,21400,21400,2021-04-05
OK,Oklahoma,39200,39200,2021-04-05
MO,Texas,272100,272100,2021-04-05
IA,Iowa,31800,31800,2021-04-05
AR,Kansas,29000,29000,2021-04-05
MO,Missouri,62200,62200,2021-04-05
NE,Nebraska,19200,19200,2021-04-05
CO,Colorado,56500,56500,2021-04-05
MT,Montana,10800,10800,2021-04-05
ND,North Dakota,7800,7800,2021-04-05
SD,South Dakota,8700,8700,2021-04-05
UT,Utah,28300,28300,2021-04-05
NY,Wyoming,5900,5900,2021-04-05
AZ,Arizona,70600,70600,2021-04-05
CA,California,397400,397400,2021-04-05
HI,Hawaii,14800,14800,2021-04-05
AR,Nevada,29800,29800,2021-04-05
AS,American Samoa,0,0,2021-04-05
GU,Guam,0,0,2021-04-05
,Marshall Islands,0,0,2021-04-05
,Micronesia,0,0,2021-04-05
,Mariana Islands,0,0,2021-04-05
,Palau,0,0,2021-04-05
AK,Alaska,0,0,2021-04-05
ID,Idaho,16600,16600,2021-04-05
MO,Oregon,42700,42700,2021-04-05
AL,Washington,75700,75700,2021-04-05
,Federal Entities,143000,143000,2021-04-05
CT,Connecticut,35800,35800,2021-03-29
ME,Maine,13700,13700,2021-03-29
MA,Massachusetts,69000,69000,2021-03-29
NH,New Hampshire,13700,13700,2021-03-29
,Rhode Island,10800,10800,2021-03-29
VT,Vermont,6500,6500,2021-03-29
NJ,New Jersey,87400,87400,2021-03-29
NY,New York,111300,111300,2021-03-29
NY,New York City,84500,84500,2021-03-29
PR,Puerto Rico,34200,34200,2021-03-29
,U.S. Virgin Islands,1100,1100,2021-03-29
DE,Delaware,9500,9500,2021-03-29
DC,District of Columbia,7200,7200,2021-03-29
MD,Maryland,59000,59000,2021-03-29
PA,Pennsylvania,112400,112400,2021-03-29
PA,Philadelphia,15600,15600,2021-03-29
VA,Virginia,82800,82800,2021-03-29
WV,West Virginia,18500,18500,2021-03-29
AL,Alabama,47700,47700,2021-03-29
FL,Florida,208000,208000,2021-03-29
GA,Georgia,98600,98600,2021-03-29
KY,Kentucky,43400,43400,2021-03-29
AR,Mississippi,28700,28700,2021-03-29
NC,North Carolina,99500,99500,2021-03-29
SC,South Carolina,48800,48800,2021-03-29
TN,Tennessee,65200,65200,2021-03-29
IL,Chicago,26500,26500,2021-03-29
IL,Illinois,98700,98700,2021-03-29
IN,Indiana,64100,64100,2021-03-29
MI,Michigan,98200,98200,2021-03-29
MN,Minnesota,53800,53800,2021-03-29
IN,Ohio,114100,114100,2021-03-29
WI,Wisconsin,57100,57100,2021-03-29
AR,Arkansas,28900,28900,2021-03-29
LA,Louisiana,45000,45000,2021-03-29
NM,New Mexico,20500,20500,2021-03-29
OK,Oklahoma,37500,37500,2021-03-29
MO,Texas,260400,260400,2021-03-29
IA,Iowa,30400,30400,2021-03-29
AR,Kansas,27800,27800,2021-03-29
MO,Missouri,59500,59500,2021-03-29
NE,Nebraska,18400,18400,2021-03-29
CO,Colorado,54100,54100,2021-03-29
MT,Montana,10400,10400,2021-03-29
ND,North Dakota,7500,7500,2021-03-29
SD,South Dakota,8300,8300,2021-03-29
UT,Utah,27100,27100,2021-03-29
NY,Wyoming,5700,5700,2021-03-29
AZ,Arizona,67600,67600,2021-03-29
CA,California,380300,380300,2021-03-29
HI,Hawaii,14200,14200,2021-03-29
AR,Nevada,28500,28500,2021-03-29
AS,American Samoa,5000,0,2021-03-29
GU,Guam,15000,0,2021-03-29
,Marshall Islands,16800,0,2021-03-29
,Micronesia,22600,0,2021-03-29
,Mariana Islands,5000,0,2021-03-29
,Palau,6200,0,2021-03-29
AK,Alaska,52500,52500,2021-03-29
ID,Idaho,15800,15800,2021-03-29
MO,Oregon,40800,40800,2021-03-29
AL,Washington,72400,72400,2021-03-29
,Federal Entities,143000,143000,2021-03-29
CT,Connecticut,35800,35800,2021-03-22
ME,Maine,13700,13700,2021-03-22
MA,Massachusetts,69000,69000,2021-03-22
NH,New Hampshire,13700,13700,2021-03-22
,Rhode Island,10800,10800,2021-03-22
VT,Vermont,6500,6500,2021-03-22
NJ,New Jersey,87400,87400,2021-03-22
NY,New York,111300,111300,2021-03-22
NY,New York City,84500,84500,2021-03-22
PR,Puerto Rico,34200,34200,2021-03-22
,U.S. Virgin Islands,1100,1100,2021-03-22
DE,Delaware,9500,9500,2021-03-22
DC,District of Columbia,7200,7200,2021-03-22
MD,Maryland,59000,59000,2021-03-22
PA,Pennsylvania,112400,112400,2021-03-22
PA,Philadelphia,15600,15600,2021-03-22
VA,Virginia,82800,82800,2021-03-22
WV,West Virginia,18500,18500,2021-03-22
AL,Alabama,47700,47700,2021-03-22
FL,Florida,208000,208000,2021-03-22
GA,Georgia,98600,98600,2021-03-22
KY,Kentucky,43400,43400,2021-03-22
AR,Mississippi,28700,28700,2021-03-22
NC,North Carolina,99500,99500,2021-03-22
SC,South Carolina,48800,48800,2021-03-22
TN,Tennessee,65200,65200,2021-03-22
IL,Chicago,26500,26500,2021-03-22
IL,Illinois,98700,98700,2021-03-22
IN,Indiana,64100,64100,2021-03-22
MI,Michigan,98200,98200,2021-03-22
MN,Minnesota,53800,53800,2021-03-22
IN,Ohio,114100,114100,2021-03-22
WI,Wisconsin,57100,57100,2021-03-22
AR,Arkansas,28900,28900,2021-03-22
LA,Louisiana,45000,45000,2021-03-22
NM,New Mexico,20500,20500,2021-03-22
OK,Oklahoma,37500,37500,2021-03-22
MO,Texas,260400,260400,2021-03-22
IA,Iowa,30400,30400,2021-03-22
AR,Kansas,27800,27800,2021-03-22
MO,Missouri,59500,59500,2021-03-22
NE,Nebraska,18400,18400,2021-03-22
CO,Colorado,54100,54100,2021-03-22
MT,Montana,10400,10400,2021-03-22
ND,North Dakota,7500,7500,2021-03-22
SD,South Dakota,8300,8300,2021-03-22
UT,Utah,27100,27100,2021-03-22
NY,Wyoming,5700,5700,2021-03-22
AZ,Arizona,67600,67600,2021-03-22
CA,California,380300,380300,2021-03-22
HI,Hawaii,14200,14200,2021-03-22
AR,Nevada,28500,28500,2021-03-22
AS,American Samoa,0,0,2021-03-22
GU,Guam,0,0,2021-03-22
,Marshall Islands,0,0,2021-03-22
,Micronesia,0,0,2021-03-22
,Mariana Islands,0,0,2021-03-22
,Palau,0,0,2021-03-22
AK,Alaska,0,0,2021-03-22
ID,Idaho,15800,15800,2021-03-22
MO,Oregon,40800,40800,2021-03-22
AL,Washington,72400,72400,2021-03-22
,Federal Entities,143000,143000,2021-03-22
CT,Connecticut,35800,35800,2021-03-15
ME,Maine,13700,13700,2021-03-15
MA,Massachusetts,69000,69000,2021-03-15
NH,New Hampshire,13700,13700,2021-03-15
,Rhode Island,10800,10800,2021-03-15
VT,Vermont,6500,6500,2021-03-15
NJ,New Jersey,87400,87400,2021-03-15
NY,New York,111300,111300,2021-03-15
NY,New York City,84500,84500,2021-03-15
PR,Puerto Rico,34200,34200,2021-03-15
,U.S. Virgin Islands,1100,1100,2021-03-15
DE,Delaware,9500,9500,2021-03-15
DC,District of Columbia,7200,7200,2021-03-15
MD,Maryland,59000,59000,2021-03-15
PA,Pennsylvania,112400,112400,2021-03-15
PA,Philadelphia,15600,15600,2021-03-15
VA,Virginia,82800,82800,2021-03-15
WV,West Virginia,18500,18500,2021-03-15
AL,Alabama,47700,47700,2021-03-15
FL,Florida,208000,208000,2021-03-15
GA,Georgia,98600,98600,2021-03-15
KY,Kentucky,43400,43400,2021-03-15
AR,Mississippi,28700,28700,2021-03-15
NC,North Carolina,99500,99500,2021-03-15
SC,South Carolina,48800,48800,2021-03-15
TN,Tennessee,65200,65200,2021-03-15
IL,Chicago,26500,26500,2021-03-15
IL,Illinois,98700,98700,2021-03-15
IN,Indiana,64100,64100,2021-03-15
MI,Michigan,98200,98200,2021-03-15
MN,Minnesota,53800,53800,2021-03-15
IN,Ohio,114100,114100,2021-03-15
WI,Wisconsin,57100,57100,2021-03-15
AR,Arkansas,28900,28900,2021-03-15
LA,Louisiana,45000,45000,2021-03-15
NM,New Mexico,20500,20500,2021-03-15
OK,Oklahoma,37500,37500,2021-03-15
MO,Texas,260400,260400,2021-03-15
IA,Iowa,30400,30400,2021-03-15
AR,Kansas,27800,27800,2021-03-15
MO,Missouri,59500,59500,2021-03-15
NE,Nebraska,18400,18400,2021-03-15
CO,Colorado,54100,54100,2021-03-15
MT,Montana,10400,10400,2021-03-15
ND,North Dakota,7500,7500,2021-03-15
SD,South Dakota,8300,8300,2021-03-15
UT,Utah,27100,27100,2021-03-15
NY,Wyoming,5700,5700,2021-03-15
AZ,Arizona,67600,67600,2021-03-15
CA,California,380300,380300,2021-03-15
HI,Hawaii,14200,14200,2021-03-15
AR,Nevada,28500,28500,2021-03-15
AS,American Samoa,0,0,2021-03-15
GU,Guam,0,0,2021-03-15
,Marshall Islands,0,0,2021-03-15
,Micronesia,0,0,2021-03-15
,Mariana Islands,0,0,2021-03-15
,Palau,0,0,2021-03-15
AK,Alaska,0,0,2021-03-15
ID,Idaho,15800,15800,2021-03-15
MO,Oregon,40800,40800,2021-03-15
AL,Washington,72400,72400,2021-03-15
,Federal Entities,143000,143000,2021-03-15
CT,Connecticut,35800,35800,2021-03-08
ME,Maine,13700,13700,2021-03-08
MA,Massachusetts,69000,69000,2021-03-08
NH,New Hampshire,13700,13700,2021-03-08
,Rhode Island,10800,10800,2021-03-08
VT,Vermont,6500,6500,2021-03-08
NJ,New Jersey,87400,87400,2021-03-08
NY,New York,111300,111300,2021-03-08
NY,New York City,84500,84500,2021-03-08
PR,Puerto Rico,34200,34200,2021-03-08
,U.S. Virgin Islands,1100,1100,2021-03-08
DE,Delaware,9500,9500,2021-03-08
DC,District of Columbia,7200,7200,2021-03-08
MD,Maryland,59000,59000,2021-03-08
PA,Pennsylvania,112400,112400,2021-03-08
PA,Philadelphia,15600,15600,2021-03-08
VA,Virginia,82800,82800,2021-03-08
WV,West Virginia,18500,18500,2021-03-08
AL,Alabama,47700,47700,2021-03-08
FL,Florida,208000,208000,2021-03-08
GA,Georgia,98600,98600,2021-03-08
KY,Kentucky,43400,43400,2021-03-08
AR,Mississippi,28700,28700,2021-03-08
NC,North Carolina,99500,99500,2021-03-08
SC,South Carolina,48800,48800,2021-03-08
TN,Tennessee,65200,65200,2021-03-08
IL,Chicago,26500,26500,2021-03-08
IL,Illinois,98700,98700,2021-03-08
IN,Indiana,64100,64100,2021-03-08
MI,Michigan,98200,98200,2021-03-08
MN,Minnesota,53800,53800,2021-03-08
IN,Ohio,114100,114100,2021-03-08
WI,Wisconsin,57100,57100,2021-03-08
AR,Arkansas,28900,28900,2021-03-08
LA,Louisiana,45000,45000,2021-03-08
NM,New Mexico,20500,20500,2021-03-08
OK,Oklahoma,37500,37500,2021-03-08
MO,Texas,260400,260400,2021-03-08
IA,Iowa,30400,30400,2021-03-08
AR,Kansas,27800,27800,2021-03-08
MO,Missouri,59500,59500,2021-03-08
NE,Nebraska,18400,18400,2021-03-08
CO,Colorado,54100,54100,2021-03-08
MT,Montana,10400,10400,2021-03-08
ND,North Dakota,7500,7500,2021-03-08
SD,South Dakota,8300,8300,2021-03-08
UT,Utah,27100,27100,2021-03-08
NY,Wyoming,5700,5700,2021-03-08
AZ,Arizona,67600,67600,2021-03-08
CA,California,380300,380300,2021-03-08
HI,Hawaii,14200,14200,2021-03-08
AR,Nevada,28500,28500,2021-03-08
AS,American Samoa,0,0,2021-03-08
GU,Guam,0,0,2021-03-08
,Marshall Islands,0,0,2021-03-08
,Micronesia,0,0,2021-03-08
,Mariana Islands,0,0,2021-03-08
,Palau,0,0,2021-03-08
AK,Alaska,0,0,2021-03-08
ID,Idaho,15800,15800,2021-03-08
MO,Oregon,40800,40800,2021-03-08
AL,Washington,72400,72400,2021-03-08
,Federal Entities,197900,193500,2021-03-08
AL,Alabama,47700,47700,2021-03-01
AK,Alaska,49300,49300,2021-03-01
AS,American Samoa,4400,0,2021-03-01
AZ,Arizona,67600,67600,2021-03-01
AR,Arkansas,28900,28900,2021-03-01
CA,California,380300,380300,2021-03-01
IL,Chicago,26500,26500,2021-03-01
CO,Colorado,54100,54100,2021-03-01
CT,Connecticut,35800,35800,2021-03-01
DE,Delaware,9500,9500,2021-03-01
DC,District of Columbia,7200,7200,2021-03-01
,Federal Entities,180500,163500,2021-03-01
FL,Florida,208000,208000,2021-03-01
GA,Georgia,98600,98600,2021-03-01
GU,Guam,14200,0,2021-03-01
HI,Hawaii,14200,14200,2021-03-01
ID,Idaho,15800,15800,2021-03-01
IL,Illinois,98700,98700,2021-03-01
IN,Indiana,64100,64100,2021-03-01
IA,Iowa,30400,30400,2021-03-01
AR,Kansas,27800,27800,2021-03-01
KY,Kentucky,43400,43400,2021-03-01
LA,Louisiana,45000,45000,2021-03-01
ME,Maine,13700,13700,2021-03-01
,Mariana Islands,4600,0,2021-03-01
,Marshall Islands,14000,0,2021-03-01
MD,Maryland,59000,59000,2021-03-01
MA,Massachusetts,69000,69000,2021-03-01
MI,Michigan,98200,98200,2021-03-01
,Micronesia,16600,0,2021-03-01
MN,Minnesota,53800,53800,2021-03-01
AR,Mississippi,28700,28700,2021-03-01
MO,Missouri,59500,59500,2021-03-01
MT,Montana,10400,10400,2021-03-01
NE,Nebraska,18400,18400,2021-03-01
AR,Nevada,28500,28500,2021-03-01
NH,New Hampshire,13700,13700,2021-03-01
NJ,New Jersey,87400,87400,2021-03-01
NM,New Mexico,20500,20500,2021-03-01
NY,New York,111300,111300,2021-03-01
NY,New York City,84500,84500,2021-03-01
NC,North Carolina,99500,99500,2021-03-01
ND,North Dakota,7500,7500,2021-03-01
IN,Ohio,114100,114100,2021-03-01
OK,Oklahoma,37500,37500,2021-03-01
MO,Oregon,40800,40800,2021-03-01
,Palau,5400,0,2021-03-01
PA,Pennsylvania,112400,112400,2021-03-01
PA,Philadelphia,15600,15600,2021-03-01
PR,Puerto Rico,34200,34200,2021-03-01
,Rhode Island,10800,10800,2021-03-01
SC,South Carolina,48800,48800,2021-03-01
SD,South Dakota,8300,8300,2021-03-01
TN,Tennessee,65200,65200,2021-03-01
MO,Texas,260400,260400,2021-03-01
,U.S. Virgin Islands,1100,1100,2021-03-01
UT,Utah,27100,27100,2021-03-01
VT,Vermont,6500,6500,2021-03-01
VA,Virginia,82800,82800,2021-03-01
AL,Washington,72400,72400,2021-03-01
WV,West Virginia,18500,18500,2021-03-01
WI,Wisconsin,57100,57100,2021-03-01
NY,Wyoming,5700,5700,2021-03-01
AL,Alabama,47700,47700,2021-02-22
AK,Alaska,0,0,2021-02-22
AS,American Samoa,0,0,2021-02-22
AZ,Arizona,67600,67600,2021-02-22
AR,Arkansas,28900,28900,2021-02-22
CA,California,380300,380300,2021-02-22
IL,Chicago,26500,26500,2021-02-22
CO,Colorado,54100,54100,2021-02-22
CT,Connecticut,35800,35800,2021-02-22
DE,Delaware,9500,9500,2021-02-22
DC,District of Columbia,7200,7200,2021-02-22
,Federal Entities,163500,163500,2021-02-22
FL,Florida,208000,208000,2021-02-22
GA,Georgia,98600,98600,2021-02-22
GU,Guam,0,0,2021-02-22
HI,Hawaii,14200,14200,2021-02-22
ID,Idaho,15800,15800,2021-02-22
IL,Illinois,98700,98700,2021-02-22
IN,Indiana,64100,64100,2021-02-22
IA,Iowa,30400,30400,2021-02-22
AR,Kansas,27800,27800,2021-02-22
KY,Kentucky,43400,43400,2021-02-22
LA,Louisiana,45000,45000,2021-02-22
ME,Maine,13700,13700,2021-02-22
,Mariana Islands,0,0,2021-02-22
,Marshall Islands,0,0,2021-02-22
MD,Maryland,59000,59000,2021-02-22
MA,Massachusetts,69000,69000,2021-02-22
MI,Michigan,98200,98200,2021-02-22
,Micronesia,0,0,2021-02-22
MN,Minnesota,53800,53800,2021-02-22
AR,Mississippi,28700,28700,2021-02-22
MO,Missouri,59500,59500,2021-02-22
MT,Montana,10400,10400,2021-02-22
NE,Nebraska,18400,18400,2021-02-22
AR,Nevada,28500,28500,2021-02-22
NH,New Hampshire,13700,13700,2021-02-22
NJ,New Jersey,87400,87400,2021-02-22
NM,New Mexico,20500,20500,2021-02-22
NY,New York,111300,111300,2021-02-22
NY,New York City,84500,84500,2021-02-22
NC,North Carolina,99500,99500,2021-02-22
ND,North Dakota,7500,7500,2021-02-22
IN,Ohio,114100,114100,2021-02-22
OK,Oklahoma,37500,37500,2021-02-22
MO,Oregon,40800,40800,2021-02-22
,Palau,0,0,2021-02-22
PA,Pennsylvania,112400,112400,2021-02-22
PA,Philadelphia,15600,15600,2021-02-22
PR,Puerto Rico,34200,34200,2021-02-22
,Rhode Island,10800,10800,2021-02-22
SC,South Carolina,48800,48800,2021-02-22
SD,South Dakota,8300,8300,2021-02-22
TN,Tennessee,65200,65200,2021-02-22
MO,Texas,260400,260400,2021-02-22
,U.S. Virgin Islands,1100,1100,2021-02-22
UT,Utah,27100,27100,2021-02-22
VT,Vermont,6500,6500,2021-02-22
VA,Virginia,82800,82800,2021-02-22
AL,Washington,72400,72400,2021-02-22
WV,West Virginia,18500,18500,2021-02-22
WI,Wisconsin,57100,57100,2021-02-22
NY,Wyoming,5700,5700,2021-02-22
AL,Alabama,47700,47700,2021-02-15
AK,Alaska,0,0,2021-02-15
AS,American Samoa,0,0,2021-02-15
AZ,Arizona,67600,67600,2021-02-15
AR,Arkansas,28900,28900,2021-02-15
CA,California,380300,380300,2021-02-15
IL,Chicago,26500,26500,2021-02-15
CO,Colorado,54100,54100,2021-02-15
CT,Connecticut,35800,35800,2021-02-15
DE,Delaware,9500,9500,2021-02-15
DC,District of Columbia,7200,7200,2021-02-15
,Federal Entities,163500,163500,2021-02-15
FL,Florida,208000,208000,2021-02-15
GA,Georgia,98600,98600,2021-02-15
GU,Guam,0,0,2021-02-15
HI,Hawaii,14200,14200,2021-02-15
ID,Idaho,15800,15800,2021-02-15
IL,Illinois,98700,98700,2021-02-15
IN,Indiana,64100,64100,2021-02-15
IA,Iowa,30400,30400,2021-02-15
AR,Kansas,27800,27800,2021-02-15
KY,Kentucky,43400,43400,2021-02-15
LA,Louisiana,45000,45000,2021-02-15
ME,Maine,13700,13700,2021-02-15
,Mariana Islands,0,0,2021-02-15
,Marshall Islands,0,0,2021-02-15
MD,Maryland,59000,59000,2021-02-15
MA,Massachusetts,69000,69000,2021-02-15
MI,Michigan,98200,98200,2021-02-15
,Micronesia,0,0,2021-02-15
MN,Minnesota,53800,53800,2021-02-15
AR,Mississippi,28700,28700,2021-02-15
MO,Missouri,59500,59500,2021-02-15
MT,Montana,10400,10400,2021-02-15
NE,Nebraska,18400,18400,2021-02-15
AR,Nevada,28500,28500,2021-02-15
NH,New Hampshire,13700,13700,2021-02-15
NJ,New Jersey,87400,87400,2021-02-15
NM,New Mexico,20500,20500,2021-02-15
NY,New York,111300,111300,2021-02-15
NY,New York City,84500,84500,2021-02-15
NC,North Carolina,99500,99500,2021-02-15
ND,North Dakota,7500,7500,2021-02-15
IN,Ohio,114100,114100,2021-02-15
OK,Oklahoma,37500,37500,2021-02-15
MO,Oregon,40800,40800,2021-02-15
,Palau,0,0,2021-02-15
PA,Pennsylvania,112400,112400,2021-02-15
PA,Philadelphia,15600,15600,2021-02-15
PR,Puerto Rico,34200,34200,2021-02-15
,Rhode Island,10800,10800,2021-02-15
SC,South Carolina,48800,48800,2021-02-15
SD,South Dakota,8300,8300,2021-02-15
TN,Tennessee,65200,65200,2021-02-15
MO,Texas,260400,260400,2021-02-15
,U.S. Virgin Islands,1100,1100,2021-02-15
UT,Utah,27100,27100,2021-02-15
VT,Vermont,6500,6500,2021-02-15
VA,Virginia,82800,82800,2021-02-15
AL,Washington,72400,72400,2021-02-15
WV,West Virginia,18500,18500,2021-02-15
WI,Wisconsin,57100,57100,2021-02-15
NY,Wyoming,5700,5700,2021-02-15
AL,Alabama,44100,44100,2021-02-08
AK,Alaska,0,0,2021-02-08
AS,American Samoa,0,0,2021-02-08
AZ,Arizona,62500,62500,2021-02-08
AR,Arkansas,26800,26800,2021-02-08
CA,California,351900,351900,2021-02-08
IL,Chicago,24500,24500,2021-02-08
CO,Colorado,50000,50000,2021-02-08
CT,Connecticut,33100,33100,2021-02-08
DE,Delaware,8800,8800,2021-02-08
DC,District of Columbia,6600,6600,2021-02-08
,Federal Entities,481400,481400,2021-02-08
FL,Florida,192500,192500,2021-02-08
GA,Georgia,91300,91300,2021-02-08
GU,Guam,0,0,2021-02-08
HI,Hawaii,13100,13100,2021-02-08
ID,Idaho,14700,14700,2021-02-08
IL,Illinois,91300,91300,2021-02-08
IN,Indiana,59300,59300,2021-02-08
IA,Iowa,28200,28200,2021-02-08
AR,Kansas,25700,25700,2021-02-08
KY,Kentucky,40200,40200,2021-02-08
LA,Louisiana,41600,41600,2021-02-08
ME,Maine,12700,12700,2021-02-08
,Mariana Islands,0,0,2021-02-08
,Marshall Islands,0,0,2021-02-08
MD,Maryland,54600,54600,2021-02-08
MA,Massachusetts,63800,63800,2021-02-08
MI,Michigan,90900,90900,2021-02-08
,Micronesia,0,0,2021-02-08
MN,Minnesota,49700,49700,2021-02-08
AR,Mississippi,26600,26600,2021-02-08
MO,Missouri,55100,55100,2021-02-08
MT,Montana,9600,9600,2021-02-08
NE,Nebraska,17000,17000,2021-02-08
AR,Nevada,26400,26400,2021-02-08
NH,New Hampshire,12700,12700,2021-02-08
NJ,New Jersey,80900,80900,2021-02-08
NM,New Mexico,19000,19000,2021-02-08
NY,New York,103000,103000,2021-02-08
NY,New York City,78200,78200,2021-02-08
NC,North Carolina,92000,92000,2021-02-08
ND,North Dakota,6900,6900,2021-02-08
IN,Ohio,105600,105600,2021-02-08
OK,Oklahoma,34700,34700,2021-02-08
MO,Oregon,37800,37800,2021-02-08
,Palau,0,0,2021-02-08
PA,Pennsylvania,104000,104000,2021-02-08
PA,Philadelphia,14400,14400,2021-02-08
PR,Puerto Rico,31600,31600,2021-02-08
,Rhode Island,10000,10000,2021-02-08
SC,South Carolina,45200,45200,2021-02-08
SD,South Dakota,7700,7700,2021-02-08
TN,Tennessee,60300,60300,2021-02-08
MO,Texas,241000,241000,2021-02-08
,U.S. Virgin Islands,1000,1000,2021-02-08
UT,Utah,25100,25100,2021-02-08
VT,Vermont,6000,6000,2021-02-08
VA,Virginia,76600,76600,2021-02-08
AL,Washington,67000,67000,2021-02-08
WV,West Virginia,17100,17100,2021-02-08
WI,Wisconsin,52900,52900,2021-02-08
PA,Philadelphia,9500,9500,2021-01-11
PR,Puerto Rico,20900,20900,2021-01-11
,Rhode Island,6600,6600,2021-01-11
SC,South Carolina,29900,29900,2021-01-11
SD,South Dakota,5100,5100,2021-01-11
TN,Tennessee,39800,39800,2021-01-11
MO,Texas,159100,159100,2021-01-11
,U.S. Virgin Islands,700,700,2021-01-11
UT,Utah,16600,16600,2021-01-11
VT,Vermont,4000,4000,2021-01-11
VA,Virginia,50600,50600,2021-01-11
AL,Washington,44300,44300,2021-01-11
WV,West Virginia,11300,11300,2021-01-11
WI,Wisconsin,34900,34900,2021-01-11
NY,Wyoming,3500,3500,2021-01-11
AL,Alabama,29000,29000,2021-01-04
AK,Alaska,25600,25600,2021-01-04
AS,American Samoa,2400,0,2021-01-04
AZ,Arizona,41100,41100,2021-01-04
AR,Arkansas,17600,17600,2021-01-04
CA,California,231400,231400,2021-01-04
IL,Chicago,16100,16100,2021-01-04
CO,Colorado,32900,32900,2021-01-04
CT,Connecticut,21800,21800,2021-01-04
DE,Delaware,5800,5800,2021-01-04
DC,District of Columbia,4400,4400,2021-01-04
,Federal Entities,108400,99600,2021-01-04
FL,Florida,126600,126600,2021-01-04
GA,Georgia,60000,60000,2021-01-04
GU,Guam,7200,0,2021-01-04
HI,Hawaii,8600,8600,2021-01-04
ID,Idaho,9700,9700,2021-01-04
IL,Illinois,60100,60100,2021-01-04
IN,Indiana,39000,39000,2021-01-04
IA,Iowa,18500,18500,2021-01-04
AR,Kansas,16900,16900,2021-01-04
KY,Kentucky,26400,26400,2021-01-04
LA,Louisiana,27400,27400,2021-01-04
ME,Maine,8300,8300,2021-01-04
,Mariana Islands,2400,0,2021-01-04
,Marshall Islands,6400,0,2021-01-04
MD,Maryland,35900,35900,2021-01-04
MA,Massachusetts,42000,42000,2021-01-04
MI,Michigan,59800,59800,2021-01-04
,Micronesia,9600,0,2021-01-04
MN,Minnesota,32700,32700,2021-01-04
AR,Mississippi,17500,17500,2021-01-04
MO,Missouri,36200,36200,2021-01-04
MT,Montana,6300,6300,2021-01-04
NE,Nebraska,11200,11200,2021-01-04
AR,Nevada,17300,17300,2021-01-04
NH,New Hampshire,8400,8400,2021-01-04
NJ,New Jersey,53200,53200,2021-01-04
NM,New Mexico,12500,12500,2021-01-04
NY,New York,67700,67700,2021-01-04
NY,New York City,51400,51400,2021-01-04
NC,North Carolina,60500,60500,2021-01-04
ND,North Dakota,4600,4600,2021-01-04
IN,Ohio,69500,69500,2021-01-04
OK,Oklahoma,22800,22800,2021-01-04
MO,Oregon,24800,24800,2021-01-04
,Palau,3200,0,2021-01-04
PA,Pennsylvania,68400,68400,2021-01-04
PA,Philadelphia,9500,9500,2021-01-04
PR,Puerto Rico,20800,20800,2021-01-04
,Rhode Island,6600,6600,2021-01-04
SC,South Carolina,29700,29700,2021-01-04
SD,South Dakota,5100,5100,2021-01-04
TN,Tennessee,39700,39700,2021-01-04
MO,Texas,158500,158500,2021-01-04
,U.S. Virgin Islands,700,700,2021-01-04
UT,Utah,16500,16500,2021-01-04
VT,Vermont,3900,3900,2021-01-04
VA,Virginia,50400,50400,2021-01-04
AL,Washington,44100,44100,2021-01-04
WV,West Virginia,11200,11200,2021-01-04
WI,Wisconsin,34700,34700,2021-01-04
NY,Wyoming,3500,3500,2021-01-04
AL,Alabama,29100,29100,2020-12-28
AK,Alaska,0,0,2020-12-28
AS,American Samoa,0,0,2020-12-28
AZ,Arizona,41300,41300,2020-12-28
AR,Arkansas,17700,17700,2020-12-28
CA,California,232300,232300,2020-12-28
IL,Chicago,16200,16200,2020-12-28
CO,Colorado,33000,33000,2020-12-28
CT,Connecticut,21900,21900,2020-12-28
DE,Delaware,5800,5800,2020-12-28
DC,District of Columbia,4400,4400,2020-12-28
,Federal Entities,100000,100000,2020-12-28
FL,Florida,127100,127100,2020-12-28
GA,Georgia,60200,60200,2020-12-28
GU,Guam,0,0,2020-12-28
HI,Hawaii,8700,8700,2020-12-28
ID,Idaho,9700,9700,2020-12-28
IL,Illinois,60300,60300,2020-12-28
IN,Indiana,39200,39200,2020-12-28
IA,Iowa,18600,18600,2020-12-28
AR,Kansas,17000,17000,2020-12-28
KY,Kentucky,26500,26500,2020-12-28
LA,Louisiana,27500,27500,2020-12-28
ME,Maine,8400,8400,2020-12-28
,Mariana Islands,0,0,2020-12-28
,Marshall Islands,0,0,2020-12-28
MD,Maryland,36000,36000,2020-12-28
MA,Massachusetts,42100,42100,2020-12-28
MI,Michigan,60000,60000,2020-12-28
,Micronesia,0,0,2020-12-28
MN,Minnesota,32900,32900,2020-12-28
AR,Mississippi,17600,17600,2020-12-28
MO,Missouri,36400,36400,2020-12-28
MT,Montana,6400,6400,2020-12-28
NE,Nebraska,11200,11200,2020-12-28
AR,Nevada,17400,17400,2020-12-28
NH,New Hampshire,8400,8400,2020-12-28
NJ,New Jersey,53400,53400,2020-12-28
NM,New Mexico,12500,12500,2020-12-28
NY,New York,68000,68000,2020-12-28
NY,New York City,51600,51600,2020-12-28
NC,North Carolina,60800,60800,2020-12-28
ND,North Dakota,4600,4600,2020-12-28
IN,Ohio,69700,69700,2020-12-28
OK,Oklahoma,22900,22900,2020-12-28
MO,Oregon,25000,25000,2020-12-28
,Palau,0,0,2020-12-28
