stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
AZ,Arizona,43400,43400,2021-01-18
AR,Arkansas,18600,18600,2021-01-18
CA,California,244000,244000,2021-01-18
IL,Chicago,17000,17000,2021-01-18
CO,Colorado,34700,34700,2021-01-18
CT,Connecticut,23000,23000,2021-01-18
DE,Delaware,6100,6100,2021-01-18
DC,District of Columbia,4600,4600,2021-01-18
,Federal Entities,105000,105000,2021-01-18
FL,Florida,133500,133500,2021-01-18
GA,Georgia,63300,63300,2021-01-18
GU,Guam,0,0,2021-01-18
HI,Hawaii,9100,9100,2021-01-18
ID,Idaho,10200,10200,2021-01-18
IL,Illinois,63300,63300,2021-01-18
IN,Indiana,41100,41100,2021-01-18
IA,Iowa,19500,19500,2021-01-18
AR,Kansas,17800,17800,2021-01-18
KY,Kentucky,27900,27900,2021-01-18
LA,Louisiana,28900,28900,2021-01-18
ME,Maine,8800,8800,2021-01-18
,Mariana Islands,0,0,2021-01-18
,Marshall Islands,0,0,2021-01-18
MD,Maryland,37800,37800,2021-01-18
MA,Massachusetts,44300,44300,2021-01-18
MI,Michigan,63000,63000,2021-01-18
,Micronesia,0,0,2021-01-18
MN,Minnesota,34500,34500,2021-01-18
AR,Mississippi,18500,18500,2021-01-18
MO,Missouri,38200,38200,2021-01-18
MT,Montana,6700,6700,2021-01-18
NE,Nebraska,11800,11800,2021-01-18
AR,Nevada,18300,18300,2021-01-18
NH,New Hampshire,8800,8800,2021-01-18
NJ,New Jersey,56100,56100,2021-01-18
NM,New Mexico,13200,13200,2021-01-18
NY,New York,71400,71400,2021-01-18
NY,New York City,54200,54200,2021-01-18
NC,North Carolina,63800,63800,2021-01-18
ND,North Dakota,4800,4800,2021-01-18
IN,Ohio,73200,73200,2021-01-18
OK,Oklahoma,24100,24100,2021-01-18
MO,Oregon,26200,26200,2021-01-18
,Palau,0,0,2021-01-18
PA,Pennsylvania,72100,72100,2021-01-18
PA,Philadelphia,10000,10000,2021-01-18
PR,Puerto Rico,21900,21900,2021-01-18
,Rhode Island,6900,6900,2021-01-18
SC,South Carolina,31400,31400,2021-01-18
SD,South Dakota,5300,5300,2021-01-18
TN,Tennessee,41800,41800,2021-01-18
MO,Texas,167100,167100,2021-01-18
,U.S. Virgin Islands,700,700,2021-01-18
UT,Utah,17400,17400,2021-01-18
